method,cycle,status,total_fuel_kg,fuel_L_per_100km,final_SOC,final_SOC_error,SOC_RMSE,engine_switch_count,mode_switch_count,battery_energy_throughput_kWh,constraint_violation_count,notes
fixed_ems,urban,PASS,0.07667859898,6.264504809,0.5652343147,0.01523431467,0.0285193201,16,46,0.3245782812,0,"Fixed map/rule EMS, external offsets disabled."
fixed_ems,highway,PASS,0.2033029071,3.628333895,0.5109742658,-0.03902573418,0.08673655792,5,18,0.5646417676,0,"Fixed map/rule EMS, external offsets disabled."
fixed_ems,high_load,PASS,0.3286665829,8.169688863,0.5033131911,-0.04668680893,0.03144457996,9,13,0.3870003628,0,"Fixed map/rule EMS, external offsets disabled."
fixed_ems,low_soc_urban,PASS,0.097175161,7.939037378,0.5545849496,0.00458494956,0.06943625474,17,47,0.3739867608,0,"Fixed map/rule EMS, external offsets disabled."
fixed_ems,low_soc_high_load,PASS,0.3520762617,8.751584929,0.5027834209,-0.04721657907,0.0531249405,8,13,0.4461999677,0,"Fixed map/rule EMS, external offsets disabled."
fixed_ems,soc_recovery_test,PASS,0.1829209734,5.061351386,0.5073438554,-0.04265614461,0.06071152398,7,20,0.5194754012,0,"Fixed map/rule EMS, external offsets disabled."
gain_scheduling_ems,urban,PASS,0.07667859898,6.264504809,0.5652343147,0.01523431467,0.0285193201,16,46,0.3245782812,0,"Internal SOC-based gain scheduling mode."
gain_scheduling_ems,highway,PASS,0.2033029071,3.628333895,0.5109742658,-0.03902573418,0.08673655792,5,18,0.5646417676,0,"Internal SOC-based gain scheduling mode."
gain_scheduling_ems,high_load,PASS,0.3291451543,8.181584746,0.5112490749,-0.03875092505,0.02828807822,9,13,0.3588191996,0,"Internal SOC-based gain scheduling mode."
gain_scheduling_ems,low_soc_urban,PASS,0.09784768434,7.993981336,0.5586024109,0.008602410871,0.06599388327,17,47,0.3658740142,0,"Internal SOC-based gain scheduling mode."
gain_scheduling_ems,low_soc_high_load,PASS,0.3517487755,8.743444581,0.5111652419,-0.03883475806,0.04844906635,8,13,0.3966613282,0,"Internal SOC-based gain scheduling mode."
gain_scheduling_ems,soc_recovery_test,PASS,0.183032768,5.064444698,0.5127706315,-0.03722936851,0.05622919052,7,20,0.4845466503,0,"Internal SOC-based gain scheduling mode."
contextual_rl_adapter_placeholder,urban,PASS,0.071708717,5.858474313,0.547599491,-0.002400508998,0.03693360274,14,45,0.3552099444,0,"Context-derived bounded offset placeholder; no direct power commands."
contextual_rl_adapter_placeholder,highway,PASS,0.2033029071,3.628333895,0.5109742658,-0.03902573418,0.08673655792,5,18,0.5646417676,0,"Context-derived bounded offset placeholder; no direct power commands."
contextual_rl_adapter_placeholder,high_load,PASS,0.3274484988,8.139410859,0.4953142727,-0.05468572734,0.03187301867,9,13,0.3934812013,0,"Context-derived bounded offset placeholder; no direct power commands."
contextual_rl_adapter_placeholder,low_soc_urban,PASS,0.1061627371,8.673306316,0.5865922443,0.03659224435,0.05929332656,19,48,0.3700369191,0,"Context-derived bounded offset placeholder; no direct power commands."
contextual_rl_adapter_placeholder,low_soc_high_load,PASS,0.3582731189,8.905620654,0.5521248174,0.00212481737,0.04106214426,8,13,0.3751963626,0,"Context-derived bounded offset placeholder; no direct power commands."
contextual_rl_adapter_placeholder,soc_recovery_test,PASS,0.1889453229,5.228042766,0.5419151853,-0.008084814739,0.04324560395,7,20,0.5147989926,0,"Context-derived bounded offset placeholder; no direct power commands."
meta_rl_adapter_placeholder,urban,PASS,0.0773502416,6.319376813,0.5667240922,0.01672409224,0.03061280179,16,46,0.3395540831,0,"Deterministic placeholder for meta-RL offset interface."
meta_rl_adapter_placeholder,highway,PASS,0.2064916184,3.685242622,0.5267009018,-0.02329909818,0.08775189998,5,18,0.5783861664,0,"Deterministic placeholder for meta-RL offset interface."
meta_rl_adapter_placeholder,high_load,PASS,0.3278483409,8.149349762,0.4933856992,-0.05661430079,0.0335518894,9,13,0.4190119647,0,"Deterministic placeholder for meta-RL offset interface."
meta_rl_adapter_placeholder,low_soc_urban,PASS,0.1012778794,8.274222157,0.5637718625,0.0137718625,0.06586285934,19,48,0.3814133435,0,"Deterministic placeholder for meta-RL offset interface."
meta_rl_adapter_placeholder,low_soc_high_load,PASS,0.3512303944,8.730559145,0.4928811947,-0.05711880529,0.05343150222,8,13,0.4763169368,0,"Deterministic placeholder for meta-RL offset interface."
meta_rl_adapter_placeholder,soc_recovery_test,PASS,0.1849926802,5.118674699,0.5180770797,-0.03192292028,0.05996205179,7,20,0.5282725227,0,"Deterministic placeholder for meta-RL offset interface."
ecms_reference,all,UNAVAILABLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"controllers/ecms_reference.m not present; ECMS reference was not run."
