split,task_key,controller_group,seed,episode_reward_delta,SOC_tail_risk_delta,SOC_tail_violation_steps_delta,SOC_RMSE_delta,abs_final_SOC_error_delta,constraint_violation_steps_delta,battery_limit_proximity_risk_delta,SOC_corrected_fuel_kg_delta,engine_switch_count_delta,battery_energy_throughput_kWh_delta,raw_action_magnitude_mean_delta,action_magnitude_mean_delta,raw_action_saturation_ratio_delta,final_action_saturation_ratio_delta,confidence_mean_delta,confidence_min_delta,confidence_p5_delta,confidence_p50_delta,confidence_p95_delta,distribution_confidence_mean_delta,safety_margin_confidence_mean_delta,stability_confidence_mean_delta,distribution_risk_mean_delta,distribution_risk_max_delta,action_attenuation_ratio_mean_delta,fallback_activation_ratio_delta,direction_suppression_ratio_delta
meta_validation,meta_validation:000,old_no_gate,20260706,-3.289019125078255,0.009540278813384845,6.0,0.0011236011782812388,-0.0011245350674680132,0.0,3.1195066145851304e-05,-0.0002893920058088528,0.0,-0.0012759959982439617,0.624036645669904,0.624036645669904,0.0125,0.029166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meta_validation,meta_validation:001,old_no_gate,20260706,22.588803493985772,-0.07974958356206768,-57.0,-0.008928062485609227,-0.014814807295474186,0.0,0.0,5.995661378561251e-05,0.0,-0.013520652412825407,0.7331287266867647,0.7331287266867647,0.004166666666666667,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meta_validation,meta_validation:002,old_no_gate,20260706,-5.41000927919297,0.014990181130701025,0.0,0.001790938832777124,0.003519624860151671,0.0,0.0017515469192247602,-0.0001955949256392392,0.0,0.019078144466694258,0.47986107416670876,0.47986107416670876,0.004166666666666667,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meta_validation,meta_validation:003,old_no_gate,20260706,-8.021903194238405,0.021139125251046026,5.0,0.0035321170500319174,0.0040421692604088455,0.0,5.3629370679316585e-05,-0.0005751873975010369,0.0,0.008675898878729493,0.7661377509269448,0.7661377509269448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meta_validation,meta_validation:004,old_no_gate,20260706,13.31280726085798,-0.06391573345318768,-13.0,-0.005690409379765615,-0.010114991894635883,0.0,0.0,-0.00036685786839335544,0.0,-0.013648340999097563,0.6571412097046978,0.6571412097046978,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meta_validation,meta_validation:005,old_no_gate,20260706,-0.97596931313414,0.0011572645155641312,0.0,0.00042234032689595497,0.0012419050031423073,0.0,4.5188828356958373e-07,-9.59701673672042e-05,0.0,0.00028107838895063963,0.45036523543052487,0.45036523543052487,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meta_validation,meta_validation:006,old_no_gate,20260706,15.250826374848202,-0.05778218754962486,-48.0,-0.006801091669251753,0.01018515964922928,0.0,0.0,-0.0005970270755295132,0.0,-0.02843729871947301,0.5391092131007462,0.5391092131007462,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meta_validation,meta_validation:007,old_no_gate,20260706,14.77628039848608,-0.07835529825245358,-3.0,-0.003268237396764545,-0.005465843504895762,0.0,0.0,-0.0001896774968192516,0.0,-0.009310465494762832,0.5428246059987901,0.5428246059987901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heldout_evaluation,heldout_evaluation:000,old_no_gate,20260706,-1.0117649298193214,0.0026799724972170758,1.0,0.00013596979547525478,0.00016966674485063837,0.0,0.0,-1.7428638483224512e-05,0.0,-0.0001272500586378955,0.5020096679756211,0.5020096679756211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heldout_evaluation,heldout_evaluation:001,old_no_gate,20260706,31.28606524094897,-0.15799497598367385,0.0,-0.007087607631875825,-0.06168765482236316,0.0,0.0,0.003406623675650304,2.0,0.020631228974735016,0.6834580822578735,0.6834580822578735,0.004166666666666667,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
