controller_group,seed,split,task_key,time_s,v_mps,SOC,P_dem_kw,P_batt_kw,battery_limit_usage,engine_on,constraint_flags,confidence,distribution_confidence,safety_margin_confidence,stability_confidence,distribution_risk,top_ood_feature,top_ood_z,pre_gate_delta_P_eng_on_kw,final_delta_P_eng_on_kw,pre_gate_delta_SOC_ref,final_delta_SOC_ref,action_attenuation_ratio,fallback_active,direction_suppression_active,reward
baseline,baseline,heldout_evaluation,heldout_evaluation:000,0,0.25,0.4495630504587767,0.10796826845913814,1.179763761302971,0.03232229483021838,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9674630981640945
baseline,baseline,heldout_evaluation,heldout_evaluation:000,1,0.05000000074505806,0.449171971405253,0.004908706632738409,1.0559134445139993,0.028988129424355927,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9736708228937584
baseline,baseline,heldout_evaluation,heldout_evaluation:000,2,0.009999999776482582,0.44878145341518,0.003651118767021734,1.0543985731970678,0.028999470675586104,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9799185047863994
baseline,baseline,heldout_evaluation,heldout_evaluation:000,3,0.0,0.4483925645262911,0.0,1.05,0.028931320754987805,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9861389675793427
baseline,baseline,heldout_evaluation,heldout_evaluation:000,4,0.0,0.44800367563740223,0.0,1.05,0.02898411827344589,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9923611898015648
baseline,baseline,heldout_evaluation,heldout_evaluation:000,5,0.0,0.44761478674851335,0.0,1.05,0.029037108847340534,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.998583412023787
baseline,baseline,heldout_evaluation,heldout_evaluation:000,6,0.0,0.44722589785962447,0.0,1.05,0.02909029353747916,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0048056342460092
baseline,baseline,heldout_evaluation,heldout_evaluation:000,7,0.0,0.4468370089707356,0.0,1.05,0.02914367341245542,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0110278564682313
baseline,baseline,heldout_evaluation,heldout_evaluation:000,8,0.0,0.4464481200818467,0.0,1.05,0.02919724954872071,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0172500786904535
baseline,baseline,heldout_evaluation,heldout_evaluation:000,9,0.0,0.4460592311929578,0.0,1.05,0.029251023030656572,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0234723009126756
baseline,baseline,heldout_evaluation,heldout_evaluation:000,10,0.0,0.44567034230406893,0.0,1.05,0.02930499495064787,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0296945231348977
baseline,baseline,heldout_evaluation,heldout_evaluation:000,11,0.0,0.44528145341518005,0.0,1.05,0.029359166409156704,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0359167453571199
baseline,baseline,heldout_evaluation,heldout_evaluation:000,12,0.0,0.44489256452629117,0.0,1.05,0.029413538514797243,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.042138967579342
baseline,baseline,heldout_evaluation,heldout_evaluation:000,13,0.0,0.4445036756374023,0.0,1.05,0.02946811238441137,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0483611898015641
baseline,baseline,heldout_evaluation,heldout_evaluation:000,14,0.0,0.4441147867485134,0.0,1.05,0.02952288914314509,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0545834120237862
baseline,baseline,heldout_evaluation,heldout_evaluation:000,15,0.0,0.4437258978596245,0.0,1.05,0.02957786992452593,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0608056342460084
baseline,baseline,heldout_evaluation,heldout_evaluation:000,16,0.0,0.44333700897073564,0.0,1.05,0.029633055870541065,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0670278564682305
