split,task_idx,task_key,stage,time_s,delta_P_eng_on_kw,delta_SOC_ref
heldout_evaluation,0,heldout_evaluation:000,0,0,2.0,0.0
heldout_evaluation,0,heldout_evaluation:000,1,10,0.0,0.0
heldout_evaluation,0,heldout_evaluation:000,2,20,0.0,0.0
heldout_evaluation,0,heldout_evaluation:000,3,30,0.0,0.0
heldout_evaluation,0,heldout_evaluation:000,4,40,0.0,0.0
heldout_evaluation,0,heldout_evaluation:000,5,50,-1.0,0.0
heldout_evaluation,0,heldout_evaluation:000,6,60,0.0,0.0
heldout_evaluation,0,heldout_evaluation:000,7,70,0.0,0.0
heldout_evaluation,0,heldout_evaluation:000,8,80,-3.0,0.0
heldout_evaluation,0,heldout_evaluation:000,9,90,0.0,0.0
heldout_evaluation,0,heldout_evaluation:000,10,100,-3.0,0.0
heldout_evaluation,0,heldout_evaluation:000,11,110,0.0,0.0
heldout_evaluation,0,heldout_evaluation:000,12,120,0.0,0.0
heldout_evaluation,0,heldout_evaluation:000,13,130,0.0,0.0
heldout_evaluation,0,heldout_evaluation:000,14,140,0.0,0.0
heldout_evaluation,0,heldout_evaluation:000,15,150,0.0,0.0
heldout_evaluation,0,heldout_evaluation:000,16,160,0.0,0.0
heldout_evaluation,0,heldout_evaluation:000,17,170,0.0,0.0
heldout_evaluation,0,heldout_evaluation:000,18,180,0.0,0.0
heldout_evaluation,0,heldout_evaluation:000,19,190,-3.0,0.0
heldout_evaluation,0,heldout_evaluation:000,20,200,0.0,0.0
heldout_evaluation,0,heldout_evaluation:000,21,210,0.0,0.005
heldout_evaluation,0,heldout_evaluation:000,22,220,0.0,0.0
heldout_evaluation,0,heldout_evaluation:000,23,230,0.0,0.0
heldout_evaluation,1,heldout_evaluation:001,0,0,1.0,0.0
heldout_evaluation,1,heldout_evaluation:001,1,10,0.0,0.0
heldout_evaluation,1,heldout_evaluation:001,2,20,0.0,0.0
heldout_evaluation,1,heldout_evaluation:001,3,30,0.0,0.0
heldout_evaluation,1,heldout_evaluation:001,4,40,0.0,0.0
heldout_evaluation,1,heldout_evaluation:001,5,50,0.0,0.0
heldout_evaluation,1,heldout_evaluation:001,6,60,0.0,0.0
heldout_evaluation,1,heldout_evaluation:001,7,70,0.0,0.0
heldout_evaluation,1,heldout_evaluation:001,8,80,0.0,0.0
heldout_evaluation,1,heldout_evaluation:001,9,90,0.0,0.0
heldout_evaluation,1,heldout_evaluation:001,10,100,0.0,0.0
heldout_evaluation,1,heldout_evaluation:001,11,110,0.0,0.0
heldout_evaluation,1,heldout_evaluation:001,12,120,0.0,0.0
heldout_evaluation,1,heldout_evaluation:001,13,130,0.0,0.0
heldout_evaluation,1,heldout_evaluation:001,14,140,0.0,0.005
heldout_evaluation,1,heldout_evaluation:001,15,150,0.0,0.0
heldout_evaluation,1,heldout_evaluation:001,16,160,0.0,0.005
heldout_evaluation,1,heldout_evaluation:001,17,170,0.0,0.0
heldout_evaluation,1,heldout_evaluation:001,18,180,0.0,0.0
heldout_evaluation,1,heldout_evaluation:001,19,190,0.0,0.0
heldout_evaluation,1,heldout_evaluation:001,20,200,0.0,0.0
heldout_evaluation,1,heldout_evaluation:001,21,210,0.0,0.005
heldout_evaluation,1,heldout_evaluation:001,22,220,0.0,0.005
heldout_evaluation,1,heldout_evaluation:001,23,230,0.0,0.005
heldout_evaluation,2,heldout_evaluation:002,0,0,0.0,0.0
heldout_evaluation,2,heldout_evaluation:002,1,10,0.0,0.0
heldout_evaluation,2,heldout_evaluation:002,2,20,0.0,0.0
heldout_evaluation,2,heldout_evaluation:002,3,30,0.0,0.0
heldout_evaluation,2,heldout_evaluation:002,4,40,0.0,0.0
heldout_evaluation,2,heldout_evaluation:002,5,50,0.0,0.0
heldout_evaluation,2,heldout_evaluation:002,6,60,0.0,0.0
heldout_evaluation,2,heldout_evaluation:002,7,70,0.0,0.0
heldout_evaluation,2,heldout_evaluation:002,8,80,0.0,0.0
heldout_evaluation,2,heldout_evaluation:002,9,90,0.0,0.0
heldout_evaluation,2,heldout_evaluation:002,10,100,0.0,0.0
heldout_evaluation,2,heldout_evaluation:002,11,110,0.0,0.0
heldout_evaluation,2,heldout_evaluation:002,12,120,0.0,0.0
heldout_evaluation,2,heldout_evaluation:002,13,130,0.0,0.0
heldout_evaluation,2,heldout_evaluation:002,14,140,0.0,0.0
heldout_evaluation,2,heldout_evaluation:002,15,150,0.0,0.0
heldout_evaluation,2,heldout_evaluation:002,16,160,0.0,0.0
heldout_evaluation,2,heldout_evaluation:002,17,170,0.0,0.0
heldout_evaluation,2,heldout_evaluation:002,18,180,0.0,0.0
heldout_evaluation,2,heldout_evaluation:002,19,190,0.0,0.0
heldout_evaluation,2,heldout_evaluation:002,20,200,0.0,0.0
heldout_evaluation,2,heldout_evaluation:002,21,210,0.0,0.0
heldout_evaluation,2,heldout_evaluation:002,22,220,0.0,0.005
heldout_evaluation,2,heldout_evaluation:002,23,230,0.0,0.005
