split,task_idx,task_key,stage,time_s,P_eng_target_kw
heldout_evaluation,0,heldout_evaluation:000,0,0,0.0
heldout_evaluation,0,heldout_evaluation:000,1,1,0.0
heldout_evaluation,0,heldout_evaluation:000,2,2,0.0
heldout_evaluation,0,heldout_evaluation:000,3,3,0.0
heldout_evaluation,0,heldout_evaluation:000,4,4,0.0
heldout_evaluation,0,heldout_evaluation:000,5,5,0.0
heldout_evaluation,0,heldout_evaluation:000,6,6,0.0
heldout_evaluation,0,heldout_evaluation:000,7,7,0.0
heldout_evaluation,0,heldout_evaluation:000,8,8,0.0
heldout_evaluation,0,heldout_evaluation:000,9,9,0.0
heldout_evaluation,0,heldout_evaluation:000,10,10,0.0
heldout_evaluation,0,heldout_evaluation:000,11,11,0.0
heldout_evaluation,0,heldout_evaluation:000,12,12,0.0
heldout_evaluation,0,heldout_evaluation:000,13,13,0.0
heldout_evaluation,0,heldout_evaluation:000,14,14,0.0
heldout_evaluation,0,heldout_evaluation:000,15,15,0.0
heldout_evaluation,0,heldout_evaluation:000,16,16,0.0
heldout_evaluation,0,heldout_evaluation:000,17,17,0.0
heldout_evaluation,0,heldout_evaluation:000,18,18,0.0
heldout_evaluation,0,heldout_evaluation:000,19,19,0.0
heldout_evaluation,0,heldout_evaluation:000,20,20,0.0
heldout_evaluation,0,heldout_evaluation:000,21,21,0.0
heldout_evaluation,0,heldout_evaluation:000,22,22,0.0
heldout_evaluation,0,heldout_evaluation:000,23,23,0.0
heldout_evaluation,0,heldout_evaluation:000,24,24,0.0
heldout_evaluation,0,heldout_evaluation:000,25,25,0.0
heldout_evaluation,0,heldout_evaluation:000,26,26,5.0
heldout_evaluation,0,heldout_evaluation:000,27,27,0.0
heldout_evaluation,0,heldout_evaluation:000,28,28,15.0
heldout_evaluation,0,heldout_evaluation:000,29,29,25.0
heldout_evaluation,0,heldout_evaluation:000,30,30,0.0
heldout_evaluation,0,heldout_evaluation:000,31,31,5.0
heldout_evaluation,0,heldout_evaluation:000,32,32,5.0
heldout_evaluation,0,heldout_evaluation:000,33,33,10.0
heldout_evaluation,0,heldout_evaluation:000,34,34,20.0
heldout_evaluation,0,heldout_evaluation:000,35,35,25.0
heldout_evaluation,0,heldout_evaluation:000,36,36,35.0
heldout_evaluation,0,heldout_evaluation:000,37,37,45.0
heldout_evaluation,0,heldout_evaluation:000,38,38,55.0
heldout_evaluation,0,heldout_evaluation:000,39,39,40.0
heldout_evaluation,0,heldout_evaluation:000,40,40,65.0
heldout_evaluation,0,heldout_evaluation:000,41,41,55.0
heldout_evaluation,0,heldout_evaluation:000,42,42,70.0
heldout_evaluation,0,heldout_evaluation:000,43,43,70.0
heldout_evaluation,0,heldout_evaluation:000,44,44,70.0
heldout_evaluation,0,heldout_evaluation:000,45,45,65.0
heldout_evaluation,0,heldout_evaluation:000,46,46,30.0
heldout_evaluation,0,heldout_evaluation:000,47,47,5.0
heldout_evaluation,0,heldout_evaluation:000,48,48,15.0
heldout_evaluation,0,heldout_evaluation:000,49,49,35.0
heldout_evaluation,0,heldout_evaluation:000,50,50,20.0
heldout_evaluation,0,heldout_evaluation:000,51,51,20.0
heldout_evaluation,0,heldout_evaluation:000,52,52,20.0
heldout_evaluation,0,heldout_evaluation:000,53,53,5.0
heldout_evaluation,0,heldout_evaluation:000,54,54,40.0
heldout_evaluation,0,heldout_evaluation:000,55,55,35.0
heldout_evaluation,0,heldout_evaluation:000,56,56,10.0
heldout_evaluation,0,heldout_evaluation:000,57,57,0.0
heldout_evaluation,0,heldout_evaluation:000,58,58,0.0
heldout_evaluation,0,heldout_evaluation:000,59,59,0.0
heldout_evaluation,0,heldout_evaluation:000,60,60,0.0
heldout_evaluation,0,heldout_evaluation:000,61,61,0.0
heldout_evaluation,0,heldout_evaluation:000,62,62,0.0
heldout_evaluation,0,heldout_evaluation:000,63,63,0.0
heldout_evaluation,0,heldout_evaluation:000,64,64,0.0
heldout_evaluation,0,heldout_evaluation:000,65,65,0.0
heldout_evaluation,0,heldout_evaluation:000,66,66,0.0
heldout_evaluation,0,heldout_evaluation:000,67,67,0.0
heldout_evaluation,0,heldout_evaluation:000,68,68,0.0
