step,split,metric,delta_mean,delta_std,n
10000,heldout_evaluation,SOC_RMSE,-0.00024355914899413242,0.00022295876153627918,5
10000,heldout_evaluation,SOC_corrected_fuel_kg,-2.0922817500249428e-05,3.664495871020315e-05,5
10000,heldout_evaluation,abs_final_SOC_error,-0.0002528066733488342,0.0005363989465033649,5
10000,heldout_evaluation,constraint_violation_steps,-0.00625,0.013975424859373685,5
10000,heldout_evaluation,engine_switch_count,0.003125,0.0447431908227386,5
10000,meta_validation,SOC_RMSE,-0.0004313477746642702,0.0003756751781614187,5
10000,meta_validation,SOC_corrected_fuel_kg,4.129475813752868e-05,3.458388417256221e-05,5
10000,meta_validation,abs_final_SOC_error,-0.0007518327408644026,0.00042169785140011736,5
10000,meta_validation,constraint_violation_steps,0.003125,0.006987712429686843,5
10000,meta_validation,engine_switch_count,0.071875,0.05367363761661771,5
20000,heldout_evaluation,SOC_RMSE,0.00010112083660341665,0.00027642986178566894,5
20000,heldout_evaluation,SOC_corrected_fuel_kg,1.6196943814681017e-05,7.79313521112178e-05,5
20000,heldout_evaluation,abs_final_SOC_error,-0.0002579165510114455,0.0010151985165069086,5
20000,heldout_evaluation,constraint_violation_steps,0.00625,0.017815241017174032,5
20000,heldout_evaluation,engine_switch_count,0.01875,0.025674494883054663,5
20000,meta_validation,SOC_RMSE,-4.850817941427253e-05,0.0003085595003313586,5
20000,meta_validation,SOC_corrected_fuel_kg,5.2040818192691575e-06,8.884407560737449e-05,5
20000,meta_validation,abs_final_SOC_error,-0.00024269088889791596,0.0009001871239829941,5
20000,meta_validation,constraint_violation_steps,0.015625,0.029231698334171417,5
20000,meta_validation,engine_switch_count,0.01875,0.05568290525376707,5
30000,heldout_evaluation,SOC_RMSE,0.00012768183529453884,0.0004792128987808874,5
30000,heldout_evaluation,SOC_corrected_fuel_kg,-1.16263476072157e-05,6.345204338574693e-05,5
30000,heldout_evaluation,abs_final_SOC_error,0.00021457723401831775,0.0007137580547050927,5
30000,heldout_evaluation,constraint_violation_steps,-0.0125,0.05783361101038046,5
30000,heldout_evaluation,engine_switch_count,-0.025,0.047649845881177835,5
30000,meta_validation,SOC_RMSE,-0.0002554296324641252,0.00024375710955813022,5
30000,meta_validation,SOC_corrected_fuel_kg,-1.1822067703184658e-05,4.120440985158545e-05,5
30000,meta_validation,abs_final_SOC_error,-8.305345165957254e-05,0.0009208897818444618,5
30000,meta_validation,constraint_violation_steps,-0.003125,0.01711632992203644,5
