time_s,controller,case_id,split,profile_id,profile_path,speed_mps,accel_mps2,road_grade,P_dem_kw,SOC,SOC_ref_base,SOC_ref_adapted,fuel_rate_kgps,total_fuel_kg,SOC_corrected_fuel_kg,engine_on,EMS_mode,P_eng_cmd_kw,P_mot_cmd_kw,P_batt_kw,battery_discharge_limit_kw,battery_charge_limit_kw,battery_limit_usage,constraint_flags,delta_P_eng_on_kw,delta_SOC_ref,raw_delta_P_eng_on_kw,raw_delta_SOC_ref,pre_gate_delta_P_eng_on_kw,pre_gate_delta_SOC_ref,confidence,distribution_confidence,safety_margin_confidence,stability_confidence,distribution_risk,top_ood_feature,top_ood_z,action_attenuation_ratio,fallback_active,direction_suppression_active,posthoc_step_reward
0,map_rule_zero_offset,C01_nominal_bc8a04551c,meta_validation,bc8a04551cdd08b3,data/drive_cycles/sumo/osm_custom_mixed_arterial/bc8a04551cdd08b3.csv,0.12999999523162842,0.0,2.0,0.06456198783899524,0.6495823438767488,0.55,0.55,0.0,0.0,-0.016080880889187906,0.0,0.0,0.0,0.06456198783899524,1.1276715327781788,57.0,-27.999999999999996,0.019783711101371556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.9479867986545587
1,map_rule_zero_offset,C01_nominal_bc8a04551c,meta_validation,bc8a04551cdd08b3,data/drive_cycles/sumo/osm_custom_mixed_arterial/bc8a04551cdd08b3.csv,0.03999999910593033,-0.08999999612569809,2.0,0.012957927107529328,0.6491876744830514,0.55,0.55,0.0,0.0,-0.01601714839140183,0.0,0.0,0.0,0.012957927107529328,1.065607362983114,57.0,-28.03341248986009,0.018694866017247614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.9363039297162901
2,map_rule_zero_offset,C01_nominal_bc8a04551c,meta_validation,bc8a04551cdd08b3,data/drive_cycles/sumo/osm_custom_mixed_arterial/bc8a04551cdd08b3.csv,0.019999999552965164,-0.019999999552965164,2.0,0.009165024600985772,0.6487946967429681,0.55,0.55,0.0,0.0,-0.015953689067345317,0.0,0.0,0.0,0.009165024600985772,1.0610398982249016,57.0,-28.064986041355887,0.018614735056577222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.9248101017263605
3,map_rule_zero_offset,C01_nominal_bc8a04551c,meta_validation,bc8a04551cdd08b3,data/drive_cycles/sumo/osm_custom_mixed_arterial/bc8a04551cdd08b3.csv,0.009999999776482582,-0.009999999776482582,2.0,0.0047743732630890195,0.6484036776197456,0.55,0.55,0.0,0.0,-0.015890546027112023,0.0,0.0,0.0,0.0047743732630890195,1.0557516327006669,57.0,-28.09642426056255,0.018521958468432752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.9134882211735849
4,map_rule_zero_offset,C01_nominal_bc8a04551c,meta_validation,bc8a04551cdd08b3,data/drive_cycles/sumo/osm_custom_mixed_arterial/bc8a04551cdd08b3.csv,0.0,-0.009999999776482582,2.0,0.0,0.6480147887308567,0.55,0.55,0.0,0.0,-0.01582774698404982,0.0,0.0,0.0,0.0,1.05,57.0,-28.12770579042035,0.01842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.9023415608443752
5,map_rule_zero_offset,C01_nominal_bc8a04551c,meta_validation,bc8a04551cdd08b3,data/drive_cycles/sumo/osm_custom_mixed_arterial/bc8a04551cdd08b3.csv,0.0,0.0,2.0,0.0,0.6476258998419678,0.55,0.55,0.0,0.0,-0.015764947940987623,0.0,0.0,0.0,0.0,1.05,57.0,-28.15881690153146,0.01842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.8913106270941717
6,map_rule_zero_offset,C01_nominal_bc8a04551c,meta_validation,bc8a04551cdd08b3,data/drive_cycles/sumo/osm_custom_mixed_arterial/bc8a04551cdd08b3.csv,0.0,0.0,2.0,0.0,0.647237010953079,0.55,0.55,0.0,0.0,-0.01570214889792542,0.0,0.0,0.0,0.0,1.05,57.0,-28.18992801264257,0.01842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.8803931192698944
7,map_rule_zero_offset,C01_nominal_bc8a04551c,meta_validation,bc8a04551cdd08b3,data/drive_cycles/sumo/osm_custom_mixed_arterial/bc8a04551cdd08b3.csv,0.0,0.0,2.0,0.0,0.6468481220641901,0.55,0.55,0.0,0.0,-0.015639349854863222,0.0,0.0,0.0,0.0,1.05,57.0,-28.22103912375368,0.01842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.8695890373715428
8,map_rule_zero_offset,C01_nominal_bc8a04551c,meta_validation,bc8a04551cdd08b3,data/drive_cycles/sumo/osm_custom_mixed_arterial/bc8a04551cdd08b3.csv,0.0,0.0,2.0,0.0,0.6464592331753012,0.55,0.55,0.0,0.0,-0.01557655081180102,0.0,0.0,0.0,0.0,1.05,57.0,-28.252150234864793,0.01842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.8588983813991171
9,map_rule_zero_offset,C01_nominal_bc8a04551c,meta_validation,bc8a04551cdd08b3,data/drive_cycles/sumo/osm_custom_mixed_arterial/bc8a04551cdd08b3.csv,0.0,0.0,2.0,0.0,0.6460703442864123,0.55,0.55,0.0,0.0,-0.015513751768738822,0.0,0.0,0.0,0.0,1.05,57.0,-28.2832613459759,0.01842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.8483211513526174
