time_s,controller,case_id,split,profile_id,profile_path,speed_mps,accel_mps2,road_grade,P_dem_kw,SOC,SOC_ref_base,SOC_ref_adapted,fuel_rate_kgps,total_fuel_kg,SOC_corrected_fuel_kg,engine_on,EMS_mode,P_eng_cmd_kw,P_mot_cmd_kw,P_batt_kw,battery_discharge_limit_kw,battery_charge_limit_kw,battery_limit_usage,constraint_flags,delta_P_eng_on_kw,delta_SOC_ref,raw_delta_P_eng_on_kw,raw_delta_SOC_ref,pre_gate_delta_P_eng_on_kw,pre_gate_delta_SOC_ref,confidence,distribution_confidence,safety_margin_confidence,stability_confidence,distribution_risk,top_ood_feature,top_ood_z,action_attenuation_ratio,fallback_active,direction_suppression_active,posthoc_step_reward,case_label,profile_label,profile_fingerprint,profile_name
0,map_rule_zero_offset,C03_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,0.0,0.0,0.0,0.5496111111111112,0.55,0.55,0.0,0.0,6.279904306220001e-05,0.0,0.0,0.0,0.0,1.05,51.00000000000001,-35.0,0.020588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0004267215363511658,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",suburban arterial congested normal seed46,e85b8857ed7397c3,custom_suburban_arterial_congested_normal_seed46
1,map_rule_zero_offset,C03_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,0.0,0.0,0.0,0.5492222222222223,0.55,0.55,0.0,0.0,0.00012559808612440002,0.0,0.0,0.0,0.0,1.05,50.95333333333334,-35.023333333333326,0.02060709145623446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.00044688614540466315,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",suburban arterial congested normal seed46,e85b8857ed7397c3,custom_suburban_arterial_congested_normal_seed46
2,map_rule_zero_offset,C03_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,0.0,0.0,0.0,0.5488333333333334,0.55,0.55,0.0,0.0,0.00018839712918660006,0.0,0.0,0.0,0.0,1.05,50.90666666666667,-35.04666666666666,0.020625982189628075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.00048049382716049203,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",suburban arterial congested normal seed46,e85b8857ed7397c3,custom_suburban_arterial_congested_normal_seed46
3,map_rule_zero_offset,C03_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.029999999329447746,0.029999999329447746,0.0,0.004642872109859852,0.5484423728772266,0.55,0.55,0.0,0.0,0.00025153069566317005,0.0,0.0,0.0,0.004642872109859852,1.0555932314881584,50.86000000000001,-35.06999999999999,0.020754880682032212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0005300685038663464,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",suburban arterial congested normal seed46,e85b8857ed7397c3,custom_suburban_arterial_congested_normal_seed46
4,map_rule_zero_offset,C03_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.019999999552965164,-0.009999999776482582,0.0,0.0017605500096046307,0.5480526984106705,0.55,0.55,0.0,0.0,0.00031445659636302413,0.0,0.0,0.0,0.0017605500096046307,1.0521210597016906,50.8130847452672,-35.093457627366405,0.020705711235129976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0005893810229831367,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",suburban arterial congested normal seed46,e85b8857ed7397c3,custom_suburban_arterial_congested_normal_seed46
5,map_rule_zero_offset,C03_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.009999999776482582,-0.009999999776482582,0.0,0.0008802737310774008,0.5476634167256564,0.55,0.55,0.0,0.0,0.0003773190694215154,0.0,0.0,0.0,0.0008802737310774008,1.0510605495379224,50.766323809280465,-35.11683809535977,0.020703893263702908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0006630740597237152,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",suburban arterial congested normal seed46,e85b8857ed7397c3,custom_suburban_arterial_congested_normal_seed46
6,map_rule_zero_offset,C03_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,-0.009999999776482582,0.0,0.0,0.5472745278367676,0.55,0.55,0.0,0.0,0.00044011811248371546,0.0,0.0,0.0,0.0,1.05,50.71961000707877,-35.140194996460615,0.02070205192534909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0007501421561135639,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",suburban arterial congested normal seed46,e85b8857ed7397c3,custom_suburban_arterial_congested_normal_seed46
7,map_rule_zero_offset,C03_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,0.0,0.0,0.0,0.5468856389478787,0.55,0.55,0.0,0.0,0.0005029171555459154,0.0,0.0,0.0,0.0,1.05,50.672943340412104,-35.16352832979395,0.02072111724290971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0008510775450209132,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",suburban arterial congested normal seed46,e85b8857ed7397c3,custom_suburban_arterial_congested_normal_seed46
8,map_rule_zero_offset,C03_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.3100000023841858,0.3100000023841858,0.0,0.19280316504218484,0.5464110910593319,0.55,0.55,0.0,0.0,0.0005795486925720019,0.0,0.0,0.0,0.19280316504218484,1.281279299076271,50.626276673745444,-35.18686166312728,0.025308582484414394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0010849680478263943,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",suburban arterial congested normal seed46,e85b8857ed7397c3,custom_suburban_arterial_congested_normal_seed46
9,map_rule_zero_offset,C03_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.8999999761581421,0.5899999737739563,0.0,0.980452416173621,0.5455942340988557,0.55,0.55,0.0,0.0,0.0007114574122661391,0.0,0.0,0.0,0.980452416173621,2.205513793286035,50.569330927119836,-35.21533453644008,0.04361366371377556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0017449065473449303,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",suburban arterial congested normal seed46,e85b8857ed7397c3,custom_suburban_arterial_congested_normal_seed46
10,map_rule_zero_offset,C03_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,2.0,1.100000023841858,0.0,3.883226854247832,0.5436013107629122,0.55,0.55,0.0,0.0,0.001033281156706772,0.0,0.0,0.0,3.883226854247832,5.38089300704728,50.47130809186268,-35.26434595406866,0.10661290960110509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.003972056045166648,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",suburban arterial congested normal seed46,e85b8857ed7397c3,custom_suburban_arterial_congested_normal_seed46
