time_s,controller,case_id,split,profile_id,profile_path,speed_mps,accel_mps2,road_grade,P_dem_kw,SOC,SOC_ref_base,SOC_ref_adapted,fuel_rate_kgps,total_fuel_kg,SOC_corrected_fuel_kg,engine_on,EMS_mode,P_eng_cmd_kw,P_mot_cmd_kw,P_batt_kw,battery_discharge_limit_kw,battery_charge_limit_kw,battery_limit_usage,constraint_flags,delta_P_eng_on_kw,delta_SOC_ref,raw_delta_P_eng_on_kw,raw_delta_SOC_ref,pre_gate_delta_P_eng_on_kw,pre_gate_delta_SOC_ref,confidence,distribution_confidence,safety_margin_confidence,stability_confidence,distribution_risk,top_ood_feature,top_ood_z,action_attenuation_ratio,fallback_active,direction_suppression_active,posthoc_step_reward,case_label,profile_label,profile_fingerprint,profile_name
0,map_rule_zero_offset,C04_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,10.119999885559082,0.0,-2.0,-2.063918884001832,0.6502759152435418,0.55,0.55,0.0,0.0,-0.016192881050093463,0.0,3.0,0.0,-2.063918884001832,-0.7449711575626621,57.0,-27.999999999999996,0.02660611277009508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.964712632359693,"C04_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed44 | SOC 0.65, mass 1.15, grade -2.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
1,map_rule_zero_offset,C04_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,11.25,1.130000114440918,-2.0,22.116853150818464,0.6411727422132745,0.55,0.55,0.0,0.0,-0.01472287105118666,0.0,0.0,0.0,22.116853150818464,24.578567181721773,57.0,-27.977926780516654,0.4312029330126627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.7342338732834116,"C04_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed44 | SOC 0.65, mass 1.15, grade -2.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
2,map_rule_zero_offset,C04_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,12.300000190734863,1.0500001907348633,-2.0,22.42230420434484,0.6319492180980874,0.55,0.55,0.0,0.0,-0.013233426367514099,0.0,0.0,0.0,22.42230420434484,24.903515111005152,57.0,-28.70618062293804,0.43690377387728335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.5506244717134283,"C04_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed44 | SOC 0.65, mass 1.15, grade -2.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
3,map_rule_zero_offset,C04_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,11.279999732971191,-1.0200004577636719,-2.0,-23.387060567770916,0.6361640782921469,0.55,0.55,0.0,0.0,-0.013914055705071569,0.0,3.0,0.0,-13.32541872972088,-11.380122523960898,57.0,-29.44406255215301,0.38649974010222854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.6212616713386815,"C04_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed44 | SOC 0.65, mass 1.15, grade -2.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
4,map_rule_zero_offset,C04_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,7.630000114440918,-3.6499996185302734,-2.0,-53.01034257753564,0.6388196371029974,0.55,0.55,0.0,0.0,-0.01434288398194335,0.0,3.0,0.0,-8.894110154601618,-7.170008789296163,57.0,-29.10687373662824,0.2463338678751125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.6743323095463913,"C04_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed44 | SOC 0.65, mass 1.15, grade -2.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
5,map_rule_zero_offset,C04_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,8.140000343322754,0.5100002288818359,-2.0,6.111460992875794,0.6359517229326895,0.55,0.55,0.0,0.0,-0.013879763870709428,0.0,0.0,0.0,6.111460992875794,7.74336825983114,57.0,-28.894429031760207,0.13584856596194983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.615656818494588,"C04_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed44 | SOC 0.65, mass 1.15, grade -2.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
6,map_rule_zero_offset,C04_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,8.239999771118164,0.09999942779541016,-2.0,-0.2781473274372088,0.6356488896320339,0.55,0.55,0.0,0.0,-0.013830861364024609,0.0,3.0,0.0,-0.2781473274372088,0.8176499117701848,57.0,-29.123862165384836,0.014344735294213767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.6070266372233036,"C04_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed44 | SOC 0.65, mass 1.15, grade -2.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
7,map_rule_zero_offset,C04_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,8.300000190734863,0.06000041961669922,-2.0,-0.8885569463327886,0.6355387731879498,0.55,0.55,0.0,0.0,-0.01381307940236031,0.0,3.0,0.0,-0.8885569463327886,0.2973143990269346,57.0,-29.148088829437285,0.005216042088191835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.6047047767391892,"C04_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed44 | SOC 0.65, mass 1.15, grade -2.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
8,map_rule_zero_offset,C04_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,10.010000228881836,1.7100000381469727,-2.0,30.706181830623052,0.6332232051561253,0.55,0.55,0.003664317026980091,0.003664317026980091,-0.009774836915695636,1.0,1.0,26.001549305285813,4.704632525337239,6.252033685926269,57.0,-29.15689814496401,0.10968480150747839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.6880311256602781,"C04_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed44 | SOC 0.65, mass 1.15, grade -2.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
9,map_rule_zero_offset,C04_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,11.90999984741211,1.8999996185302734,-2.0,41.08676873238033,0.6309572994636008,0.55,0.55,0.002410071119129256,0.006074388146109347,-0.0069988599730127846,1.0,1.0,36.50949244879344,4.57727628358689,6.117945369816114,57.0,-29.342143587509973,0.10733237490905463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.5753517508331517,"C04_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed44 | SOC 0.65, mass 1.15, grade -2.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
10,map_rule_zero_offset,C04_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,13.65999984741211,1.75,-2.0,43.45214195726816,0.6287401190695303,0.55,0.55,0.002587620480731877,0.008662008626841224,-0.004053201988453735,1.0,1.0,38.99949048677012,4.45265147049804,5.986387063990431,57.0,-29.523416042911933,0.10502433445597248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.5458439879677981,"C04_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed44 | SOC 0.65, mass 1.15, grade -2.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
