time_s,controller,case_id,split,profile_id,profile_path,speed_mps,accel_mps2,road_grade,P_dem_kw,SOC,SOC_ref_base,SOC_ref_adapted,fuel_rate_kgps,total_fuel_kg,SOC_corrected_fuel_kg,engine_on,EMS_mode,P_eng_cmd_kw,P_mot_cmd_kw,P_batt_kw,battery_discharge_limit_kw,battery_charge_limit_kw,battery_limit_usage,constraint_flags,delta_P_eng_on_kw,delta_SOC_ref,raw_delta_P_eng_on_kw,raw_delta_SOC_ref,pre_gate_delta_P_eng_on_kw,pre_gate_delta_SOC_ref,confidence,distribution_confidence,safety_margin_confidence,stability_confidence,distribution_risk,top_ood_feature,top_ood_z,action_attenuation_ratio,fallback_active,direction_suppression_active,posthoc_step_reward
0,map_rule_zero_offset,C05_low_soc_stress_e85b8857ed,low_soc_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,0.0,0.0,0.0,0.44961111111111113,0.55,0.55,0.0,0.0,0.01621112440191388,0.0,0.0,0.0,0.0,1.05,36.5,-40.0,0.028767123287671233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.9666422222222225
1,map_rule_zero_offset,C05_low_soc_stress_e85b8857ed,low_soc_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,0.0,0.0,0.0,0.44922222222222224,0.55,0.55,0.0,0.0,0.016273923444976083,0.0,0.0,0.0,0.0,1.05,36.43388888888889,-40.01555555555556,0.02881932266967567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.9728644444444446
2,map_rule_zero_offset,C05_low_soc_stress_e85b8857ed,low_soc_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,0.0,0.0,0.0,0.44883333333333336,0.55,0.55,0.0,0.0,0.016336722488038278,0.0,0.0,0.0,0.0,1.05,36.36777777777778,-40.03111111111111,0.028871711832819037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.9790866666666668
3,map_rule_zero_offset,C05_low_soc_stress_e85b8857ed,low_soc_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.029999999329447746,0.029999999329447746,0.0,0.004642872109859852,0.44844237287722666,0.55,0.55,0.0,0.0,0.01639985605451484,0.0,0.0,0.0,0.004642872109859852,1.0555932314881584,36.30166666666667,-40.04666666666667,0.029078368251820166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.9853442712569696
4,map_rule_zero_offset,C05_low_soc_stress_e85b8857ed,low_soc_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.019999999552965164,-0.009999999776482582,0.0,0.0017605500096046307,0.44805269841067047,0.55,0.55,0.0,0.0,0.016462781955214705,0.0,0.0,0.0,0.0017605500096046307,1.0521210597016906,36.23520338912853,-40.06230508491093,0.029035881167907375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.9915776738531538
5,map_rule_zero_offset,C05_low_soc_stress_e85b8857ed,low_soc_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.009999999776482582,-0.009999999776482582,0.0,0.0008802737310774008,0.4476634167256564,0.55,0.55,0.0,0.0,0.016525644428273197,0.0,0.0,0.0,0.0008802737310774008,1.0510605495379224,36.16895872981398,-40.07789206357318,0.029059740353308425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.9978057566093133
6,map_rule_zero_offset,C05_low_soc_stress_e85b8857ed,low_soc_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,-0.009999999776482582,0.0,0.0,0.4472745278367675,0.55,0.55,0.0,0.0,0.016588443471335396,0.0,0.0,0.0,0.0,1.05,36.102780843361586,-40.09346333097375,0.029083632215357983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.0040275546117203
7,map_rule_zero_offset,C05_low_soc_stress_e85b8857ed,low_soc_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,0.0,0.0,0.0,0.44688563894787864,0.55,0.55,0.0,0.0,0.016651242514397594,0.0,0.0,0.0,0.0,1.05,36.03666973225047,-40.1090188865293,0.029136987624034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.0102497768339425
8,map_rule_zero_offset,C05_low_soc_stress_e85b8857ed,low_soc_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.3100000023841858,0.3100000023841858,0.0,0.19280316504218484,0.44641109105933185,0.55,0.55,0.0,0.0,0.01672787405142369,0.0,0.0,0.0,0.19280316504218484,1.281279299076271,35.97055862113937,-40.12457444208486,0.035620222431666154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.0179350547703216
9,map_rule_zero_offset,C05_low_soc_stress_e85b8857ed,low_soc_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.8999999761581421,0.5899999737739563,0.0,0.980452416173621,0.44559423409885557,0.55,0.55,0.0,0.0,0.01685978277111783,0.0,0.0,0.0,0.980452416173621,2.205513793286035,35.88988548008641,-40.14355635762673,0.06145223824995957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.031374459935626
