time_s,controller,case_id,split,profile_id,profile_path,speed_mps,accel_mps2,road_grade,P_dem_kw,SOC,SOC_ref_base,SOC_ref_adapted,fuel_rate_kgps,total_fuel_kg,SOC_corrected_fuel_kg,engine_on,EMS_mode,P_eng_cmd_kw,P_mot_cmd_kw,P_batt_kw,battery_discharge_limit_kw,battery_charge_limit_kw,battery_limit_usage,constraint_flags,delta_P_eng_on_kw,delta_SOC_ref,raw_delta_P_eng_on_kw,raw_delta_SOC_ref,pre_gate_delta_P_eng_on_kw,pre_gate_delta_SOC_ref,confidence,distribution_confidence,safety_margin_confidence,stability_confidence,distribution_risk,top_ood_feature,top_ood_z,action_attenuation_ratio,fallback_active,direction_suppression_active,posthoc_step_reward
0,map_rule_zero_offset,C09_uphill_grade_stress_cfef57d4ff,uphill_grade_stress,cfef57d4ffb59267,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,10.119999885559082,0.0,6.0,11.414439590015345,0.5450690891704048,0.55,0.55,0.0,0.0,0.0007962595239179001,0.0,0.0,0.0,11.414439590015345,13.31345923990743,51.00000000000001,-35.0,0.26104822039034176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.006406000656381645
1,map_rule_zero_offset,C09_uphill_grade_stress_cfef57d4ff,uphill_grade_stress,cfef57d4ffb59267,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,11.25,1.130000114440918,6.0,34.013441662457105,0.5448180248717404,0.55,0.55,0.004265087978795748,0.004265087978795748,0.005101890182521894,1.0,1.0,34.457223637120684,-0.4437819746635796,0.6778736063939155,50.408290700448575,-35.29585464977571,0.013447661029059317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.1367663697398015
2,map_rule_zero_offset,C09_uphill_grade_stress_cfef57d4ff,uphill_grade_stress,cfef57d4ffb59267,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,12.300000190734863,1.0500001907348633,6.0,35.67549196815049,0.5445740531652209,0.55,0.55,0.002384010878405709,0.006649098857201457,0.007525298405879908,1.0,1.0,36.14186972969386,-0.4663777615433702,0.6587236076024219,50.37816298460884,-35.310918507695575,0.013075578158808016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.04925219141354848
3,map_rule_zero_offset,C09_uphill_grade_stress_cfef57d4ff,uphill_grade_stress,cfef57d4ffb59267,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,11.279999732971191,-1.0200004577636719,6.0,-6.102260922788954,0.546249695281892,0.55,0.55,9.772727272727273e-05,0.00674682612992873,0.0073524375377571755,1.0,3.0,0.0,-6.102260922788954,-4.5242337150121585,50.34888637982651,-35.325556810086745,0.1280725379456814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.00438934051737979
4,map_rule_zero_offset,C09_uphill_grade_stress_cfef57d4ff,uphill_grade_stress,cfef57d4ffb59267,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,7.630000114440918,-3.6499996185302734,6.0,-36.49560730490363,0.5498062846713445,0.55,0.55,9.772727272727273e-05,0.006844553402656003,0.006875835184197267,1.0,3.0,0.0,-11.442283807331812,-9.602791351521736,50.549963433827045,-35.22501828308648,0.2726128138344382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.005797329800867754
5,map_rule_zero_offset,C09_uphill_grade_stress_cfef57d4ff,uphill_grade_stress,cfef57d4ffb59267,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,8.140000343322754,0.5100002288818359,6.0,15.982291334809396,0.5494227574048218,0.55,0.55,0.0009665930158203454,0.007811146418476349,0.007904361430855607,1.0,1.0,15.999725714388394,-0.017434379578997294,1.035523619611138,50.97675416056134,-35.01162291971933,0.02031364367275233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.01976087905374861
6,map_rule_zero_offset,C09_uphill_grade_stress_cfef57d4ff,uphill_grade_stress,cfef57d4ffb59267,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,8.239999771118164,0.09999942779541016,6.0,10.54794025410336,0.5490498581179964,0.55,0.55,0.0006339648377792703,0.008445111256255619,0.008598543258732277,1.0,1.0,10.5998920876694,-0.05195183356604005,1.0068280744284392,50.93073088857862,-35.03463455571069,0.01976857698412146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.013122151078509552
7,map_rule_zero_offset,C09_uphill_grade_stress_cfef57d4ff,uphill_grade_stress,cfef57d4ffb59267,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,8.300000190734863,0.06000041961669922,6.0,10.07435916070564,0.5486873085707042,0.55,0.55,0.0006076478427084907,0.00905275909896411,0.009264736781924555,1.0,1.0,10.159871930085965,-0.08551276938032437,0.9788837776888099,50.885982974159575,-35.05700851292021,0.019236805903619807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.012621095200291855
8,map_rule_zero_offset,C09_uphill_grade_stress_cfef57d4ff,uphill_grade_stress,cfef57d4ffb59267,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,10.010000228881836,1.7100000381469727,6.0,39.83857124815235,0.5483348368910329,0.55,0.55,0.002656359975614288,0.011709119074578398,0.011978015031169981,1.0,1.0,39.95671347678897,-0.11814222863662138,0.9516735351126191,50.84247702848451,-35.078761485757745,0.018718079659640577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.05363110306764037
9,map_rule_zero_offset,C09_uphill_grade_stress_cfef57d4ff,uphill_grade_stress,cfef57d4ffb59267,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,11.90999984741211,1.8999996185302734,6.0,51.38627731854202,0.5479921774822204,0.55,0.55,0.003509893880523529,0.015219012955101927,0.015543242667901271,1.0,1.0,51.536141998349066,-0.14986467980704532,0.9251804037937357,50.80018042692395,-35.09990978653803,0.01821214798881684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0707471209392282
