time_s,controller,case_id,split,profile_id,profile_path,speed_mps,accel_mps2,road_grade,P_dem_kw,SOC,SOC_ref_base,SOC_ref_adapted,fuel_rate_kgps,total_fuel_kg,SOC_corrected_fuel_kg,engine_on,EMS_mode,P_eng_cmd_kw,P_mot_cmd_kw,P_batt_kw,battery_discharge_limit_kw,battery_charge_limit_kw,battery_limit_usage,constraint_flags,delta_P_eng_on_kw,delta_SOC_ref,raw_delta_P_eng_on_kw,raw_delta_SOC_ref,pre_gate_delta_P_eng_on_kw,pre_gate_delta_SOC_ref,confidence,distribution_confidence,safety_margin_confidence,stability_confidence,distribution_risk,top_ood_feature,top_ood_z,action_attenuation_ratio,fallback_active,direction_suppression_active,posthoc_step_reward
0,map_rule_zero_offset,C10_high_mass_stress_e85b8857ed,high_mass_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,0.0,0.0,0.0,0.5496111111111112,0.55,0.55,0.0,0.0,6.279904306220001e-05,0.0,0.0,0.0,0.0,1.05,51.00000000000001,-35.0,0.020588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0004267215363511658
1,map_rule_zero_offset,C10_high_mass_stress_e85b8857ed,high_mass_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,0.0,0.0,0.0,0.5492222222222223,0.55,0.55,0.0,0.0,0.00012559808612440002,0.0,0.0,0.0,0.0,1.05,50.95333333333334,-35.023333333333326,0.02060709145623446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.00044688614540466315
2,map_rule_zero_offset,C10_high_mass_stress_e85b8857ed,high_mass_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,0.0,0.0,0.0,0.5488333333333334,0.55,0.55,0.0,0.0,0.00018839712918660006,0.0,0.0,0.0,0.0,1.05,50.90666666666667,-35.04666666666666,0.020625982189628075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.00048049382716049203
3,map_rule_zero_offset,C10_high_mass_stress_e85b8857ed,high_mass_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.029999999329447746,0.029999999329447746,0.0,0.006035730303760538,0.5484417514938539,0.55,0.55,0.0,0.0,0.00025163103867192855,0.0,0.0,0.0,0.006035730303760538,1.0572709665948146,50.86000000000001,-35.06999999999999,0.02078786800225746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0005308256491671149
4,map_rule_zero_offset,C10_high_mass_stress_e85b8857ed,high_mass_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.019999999552965164,-0.009999999776482582,0.0,0.0022887139935060872,0.5480518413667131,0.55,0.55,0.0,0.0,0.00031459499460972674,0.0,0.0,0.0,0.0022887139935060872,1.0527573432799653,50.81301017926246,-35.09349491036877,0.020718263680225956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0005897839177764433
5,map_rule_zero_offset,C10_high_mass_stress_e85b8857ed,high_mass_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.009999999776482582,-0.009999999776482582,0.0,0.0011443557230281292,0.5476624418459838,0.55,0.55,0.0,0.0,0.00037747649616291307,0.0,0.0,0.0,0.0011443557230281292,1.051378705969321,50.766220964005576,-35.11688951799721,0.020710202296026183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0006634038434280801
6,map_rule_zero_offset,C10_high_mass_stress_e85b8857ed,high_mass_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,-0.009999999776482582,0.0,0.0,0.5472735529570949,0.55,0.55,0.0,0.0,0.0004402755392251131,0.0,0.0,0.0,0.0,1.05,50.719493021518055,-35.140253489240976,0.020702099675060457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0007503783767896092
7,map_rule_zero_offset,C10_high_mass_stress_e85b8857ed,high_mass_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,0.0,0.0,0.0,0.546884664068206,0.55,0.55,0.0,0.0,0.000503074582287313,0.0,0.0,0.0,0.0,1.05,50.67282635485139,-35.1635868225743,0.020721165080610778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0008513474652411983
8,map_rule_zero_offset,C10_high_mass_stress_e85b8857ed,high_mass_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.3100000023841858,0.3100000023841858,0.0,0.2506403200006052,0.5463845657434618,0.55,0.55,0.0,0.0,0.00058383208688117,0.0,0.0,0.0,0.2506403200006052,1.3502654768092628,50.62615968818472,-35.186920155907636,0.026671299682333827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0011210557402059266
9,map_rule_zero_offset,C10_high_mass_stress_e85b8857ed,high_mass_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.8999999761581421,0.5899999737739563,0.0,1.2744952864805867,0.54544297279193,0.55,0.55,0.0,0.0,0.0007358835802505467,0.0,0.0,0.0,1.2744952864805867,2.542300969136093,50.56614788921542,-35.21692605539229,0.050276738000806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0019398758087695812
