time_s,controller,case_id,split,profile_id,profile_path,speed_mps,accel_mps2,road_grade,P_dem_kw,SOC,SOC_ref_base,SOC_ref_adapted,fuel_rate_kgps,total_fuel_kg,SOC_corrected_fuel_kg,engine_on,EMS_mode,P_eng_cmd_kw,P_mot_cmd_kw,P_batt_kw,battery_discharge_limit_kw,battery_charge_limit_kw,battery_limit_usage,constraint_flags,delta_P_eng_on_kw,delta_SOC_ref,raw_delta_P_eng_on_kw,raw_delta_SOC_ref,pre_gate_delta_P_eng_on_kw,pre_gate_delta_SOC_ref,confidence,distribution_confidence,safety_margin_confidence,stability_confidence,distribution_risk,top_ood_feature,top_ood_z,action_attenuation_ratio,fallback_active,direction_suppression_active,posthoc_step_reward
0,map_rule_zero_offset,C11_uphill_grade_stress_e85b8857ed,uphill_grade_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,0.0,6.0,0.0,0.5496111111111112,0.55,0.55,0.0,0.0,6.279904306220001e-05,0.0,0.0,0.0,0.0,1.05,51.00000000000001,-35.0,0.020588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0004267215363511658
1,map_rule_zero_offset,C11_uphill_grade_stress_e85b8857ed,uphill_grade_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,0.0,6.0,0.0,0.5492222222222223,0.55,0.55,0.0,0.0,0.00012559808612440002,0.0,0.0,0.0,0.0,1.05,50.95333333333334,-35.023333333333326,0.02060709145623446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.00044688614540466315
2,map_rule_zero_offset,C11_uphill_grade_stress_e85b8857ed,uphill_grade_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,0.0,6.0,0.0,0.5488333333333334,0.55,0.55,0.0,0.0,0.00018839712918660006,0.0,0.0,0.0,0.0,1.05,50.90666666666667,-35.04666666666666,0.020625982189628075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.00048049382716049203
3,map_rule_zero_offset,C11_uphill_grade_stress_e85b8857ed,uphill_grade_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.029999999329447746,0.029999999329447746,6.0,0.03403433538913225,0.548429269065621,0.55,0.55,0.0,0.0,0.00025364674179566716,0.0,0.0,0.0,0.03403433538913225,1.0909735228235091,50.86000000000001,-35.06999999999999,0.021450521486895576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.000546042549938978
4,map_rule_zero_offset,C11_uphill_grade_stress_e85b8857ed,uphill_grade_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.019999999552965164,-0.009999999776482582,6.0,0.0213548588624529,0.5480308556353585,0.55,0.55,0.0,0.0,0.0003179838387878138,0.0,0.0,0.0,0.0213548588624529,1.0757162617088143,50.811512287874514,-35.09424385606274,0.02117071925776001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0006026211504079553
5,map_rule_zero_offset,C11_uphill_grade_stress_e85b8857ed,uphill_grade_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.009999999776482582,-0.009999999776482582,6.0,0.010677428157501537,0.5476372033207139,0.55,0.55,0.0,0.0,0.000381552095339276,0.0,0.0,0.0,0.010677428157501537,1.0628612495403411,50.763702676243014,-35.11814866187849,0.02093742563104545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0006732693063781727
6,map_rule_zero_offset,C11_uphill_grade_stress_e85b8857ed,uphill_grade_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,-0.009999999776482582,6.0,0.0,0.547248314431825,0.55,0.55,0.0,0.0,0.000444351138401476,0.0,0.0,0.0,0.0,1.05,50.71646439848566,-35.141767800757165,0.02070333593741901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0007565232651601306
7,map_rule_zero_offset,C11_uphill_grade_stress_e85b8857ed,uphill_grade_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,0.0,6.0,0.0,0.5468594255429361,0.55,0.55,0.0,0.0,0.0005071501814636761,0.0,0.0,0.0,0.0,1.05,50.669797731819,-35.1651011340905,0.020722403621134526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0008583647964605565
8,map_rule_zero_offset,C11_uphill_grade_stress_e85b8857ed,uphill_grade_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.3100000023841858,0.3100000023841858,6.0,0.4965149613856443,0.5462514499306653,0.55,0.55,0.0,0.0,0.0006053280614356309,0.0,0.0,0.0,0.4965149613856443,1.6415341531311425,50.623131065152336,-35.18843446742383,0.03242656308671378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0012811304444662057
9,map_rule_zero_offset,C11_uphill_grade_stress_e85b8857ed,uphill_grade_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.8999999761581421,0.5899999737739563,6.0,1.8621963109020687,0.5450653424389245,0.55,0.55,0.0,0.0,0.0007968645583076601,0.0,0.0,0.0,1.8621963109020687,3.202490227700239,50.55017399167984,-35.22491300416008,0.0633527043492935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0023632558797503376
10,map_rule_zero_offset,C11_uphill_grade_stress_e85b8857ed,uphill_grade_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,2.0,1.100000023841858,6.0,5.842657783329353,0.5423038285520051,0.55,0.55,0.0,0.0,0.0012428028055972704,0.0,0.0,0.0,5.842657783329353,7.4560874946821505,50.407841092670935,-35.29607945366453,0.14791523169926496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.00561492632929209
11,map_rule_zero_offset,C11_uphill_grade_stress_e85b8857ed,uphill_grade_stress,e85b8857ed7397c3,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,3.630000114440918,1.630000114440918,6.0,13.828340306253036,0.5364258108375424,0.55,0.55,0.0,0.0,0.002192004230779648,0.0,0.0,0.0,13.828340306253036,15.870647829049418,50.07645942624061,-35.46177028687969,0.31692831344088646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.014537530750205693
