time_s,controller,case_id,split,profile_id,profile_path,speed_mps,accel_mps2,road_grade,P_dem_kw,SOC,SOC_ref_base,SOC_ref_adapted,fuel_rate_kgps,total_fuel_kg,SOC_corrected_fuel_kg,engine_on,EMS_mode,P_eng_cmd_kw,P_mot_cmd_kw,P_batt_kw,battery_discharge_limit_kw,battery_charge_limit_kw,battery_limit_usage,constraint_flags,delta_P_eng_on_kw,delta_SOC_ref,raw_delta_P_eng_on_kw,raw_delta_SOC_ref,pre_gate_delta_P_eng_on_kw,pre_gate_delta_SOC_ref,confidence,distribution_confidence,safety_margin_confidence,stability_confidence,distribution_risk,top_ood_feature,top_ood_z,action_attenuation_ratio,fallback_active,direction_suppression_active,posthoc_step_reward,case_label,profile_label,profile_fingerprint,profile_name
0,map_rule_zero_offset,C12_wet_weather_wet_friction,weather_wet,freeway corridor / wet,data/drive_cycles/sumo_weather/profiles/wet/osm_custom_freeway_corridor/57da69baf0315620.csv,10.050000190734863,0.0,0.0,1.4833211731354137,0.5489708006059784,0.55,0.55,0.0,0.0,0.0001661984667379515,0.0,0.0,0.0,1.4833211731354137,2.7788383638585312,51.00000000000001,-35.0,0.054487026742324134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0011586131852169505,"C12_wet_weather_wet_friction | Wet weather | Wet friction | freeway corridor / wet | SOC 0.55, mass 1.00, grade 0.0%",freeway corridor / wet,57da69baf0315620,SUMO weather wet 57da69baf0315620
1,map_rule_zero_offset,C12_wet_weather_wet_friction,weather_wet,freeway corridor / wet,data/drive_cycles/sumo_weather/profiles/wet/osm_custom_freeway_corridor/57da69baf0315620.csv,9.539999961853027,-0.5100002288818359,0.0,-6.482409564002157,0.5507785658579236,0.55,0.55,0.0,0.0,-0.00012572534787043366,0.0,3.0,0.0,-6.482409564002157,-4.880966180252176,50.8764960727174,-35.0617519636413,0.13921056156331524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.001979327129661949,"C12_wet_weather_wet_friction | Wet weather | Wet friction | freeway corridor / wet | SOC 0.55, mass 1.00, grade 0.0%",freeway corridor / wet,57da69baf0315620,SUMO weather wet 57da69baf0315620
2,map_rule_zero_offset,C12_wet_weather_wet_friction,weather_wet,freeway corridor / wet,data/drive_cycles/sumo_weather/profiles/wet/osm_custom_freeway_corridor/57da69baf0315620.csv,9.550000190734863,0.010000228881835938,0.0,1.5291208569968284,0.5497302601016465,0.55,0.55,0.0,0.0,4.355847640876693e-05,0.0,0.0,0.0,1.5291208569968284,2.8304255419483697,51.093427902950836,-34.95328604852458,0.05539705707991657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0011354039773466273,"C12_wet_weather_wet_friction | Wet weather | Wet friction | freeway corridor / wet | SOC 0.55, mass 1.00, grade 0.0%",freeway corridor / wet,57da69baf0315620,SUMO weather wet 57da69baf0315620
3,map_rule_zero_offset,C12_wet_weather_wet_friction,weather_wet,freeway corridor / wet,data/drive_cycles/sumo_weather/profiles/wet/osm_custom_freeway_corridor/57da69baf0315620.csv,9.789999961853027,0.23999977111816406,0.0,5.3434974577210035,0.5471669577827206,0.55,0.55,0.0,0.0,0.0004574888747999071,0.0,0.0,0.0,5.3434974577210035,6.9209162610997925,50.96763121219758,-35.01618439390121,0.13579042416716194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.003125083313546029,"C12_wet_weather_wet_friction | Wet weather | Wet friction | freeway corridor / wet | SOC 0.55, mass 1.00, grade 0.0%",freeway corridor / wet,57da69baf0315620,SUMO weather wet 57da69baf0315620
4,map_rule_zero_offset,C12_wet_weather_wet_friction,weather_wet,freeway corridor / wet,data/drive_cycles/sumo_weather/profiles/wet/osm_custom_freeway_corridor/57da69baf0315620.csv,9.40999984741211,-0.38000011444091797,0.0,-4.443432033855769,0.5482636979869498,0.55,0.55,0.0,0.0,0.00028038369827963674,0.0,3.0,0.0,-4.443432033855769,-2.9611985514188044,50.660034933926475,-35.16998253303676,0.08419675922890256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0013184680730351733,"C12_wet_weather_wet_friction | Wet weather | Wet friction | freeway corridor / wet | SOC 0.55, mass 1.00, grade 0.0%",freeway corridor / wet,57da69baf0315620,SUMO weather wet 57da69baf0315620
5,map_rule_zero_offset,C12_wet_weather_wet_friction,weather_wet,freeway corridor / wet,data/drive_cycles/sumo_weather/profiles/wet/osm_custom_freeway_corridor/57da69baf0315620.csv,9.550000190734863,0.1400003433227539,0.0,3.6004007829660467,0.5463831620956444,0.55,0.55,0.0,0.0,0.0005840587524976196,0.0,0.0,0.0,3.6004007829660467,5.077446906524737,50.791643758433985,-35.10417812078301,0.09996618598667864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0026123794926713895,"C12_wet_weather_wet_friction | Wet weather | Wet friction | freeway corridor / wet | SOC 0.55, mass 1.00, grade 0.0%",freeway corridor / wet,57da69baf0315620,SUMO weather wet 57da69baf0315620
6,map_rule_zero_offset,C12_wet_weather_wet_friction,weather_wet,freeway corridor / wet,data/drive_cycles/sumo_weather/profiles/wet/osm_custom_freeway_corridor/57da69baf0315620.csv,9.9399995803833,0.3899993896484375,0.0,7.925388174750514,0.5428033761333012,0.55,0.55,0.0,0.0,0.0011621342368473002,0.0,0.0,0.0,7.925388174750514,9.665422098326582,50.56597945147733,-35.217010274261334,0.19114476181760576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.006168008620607936,"C12_wet_weather_wet_friction | Wet weather | Wet friction | freeway corridor / wet | SOC 0.55, mass 1.00, grade 0.0%",freeway corridor / wet,57da69baf0315620,SUMO weather wet 57da69baf0315620
7,map_rule_zero_offset,C12_wet_weather_wet_friction,weather_wet,freeway corridor / wet,data/drive_cycles/sumo_weather/profiles/wet/osm_custom_freeway_corridor/57da69baf0315620.csv,10.050000190734863,0.1100006103515625,0.0,3.3277115440008656,0.5410318366530164,0.55,0.55,0.0,0.0,0.0014482081959842088,0.0,0.0,0.0,3.3277115440008656,4.783156596768984,50.13640513599614,-35.43179743200193,0.09540286312499995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.005487838363960117,"C12_wet_weather_wet_friction | Wet weather | Wet friction | freeway corridor / wet | SOC 0.55, mass 1.00, grade 0.0%",freeway corridor / wet,57da69baf0315620,SUMO weather wet 57da69baf0315620
8,map_rule_zero_offset,C12_wet_weather_wet_friction,weather_wet,freeway corridor / wet,data/drive_cycles/sumo_weather/profiles/wet/osm_custom_freeway_corridor/57da69baf0315620.csv,9.970000267028809,-0.07999992370605469,0.0,0.13404550328829642,0.5405833144382831,0.55,0.55,0.0,0.0,0.0015206370225260594,0.0,0.0,0.0,0.13404550328829642,1.2110099797796252,49.92382039836196,-35.538089800819016,0.024257157607660958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.004425469190500655,"C12_wet_weather_wet_friction | Wet weather | Wet friction | freeway corridor / wet | SOC 0.55, mass 1.00, grade 0.0%",freeway corridor / wet,57da69baf0315620,SUMO weather wet 57da69baf0315620
9,map_rule_zero_offset,C12_wet_weather_wet_friction,weather_wet,freeway corridor / wet,data/drive_cycles/sumo_weather/profiles/wet/osm_custom_freeway_corridor/57da69baf0315620.csv,9.569999694824219,-0.40000057220458984,0.0,-4.813821269168624,0.5418102412528342,0.55,0.55,0.0,0.0,0.0013225088885973604,0.0,3.0,0.0,-4.813821269168624,-3.312702399287904,49.86999773259397,-35.565001133703014,0.093145010366628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.004306065330238718,"C12_wet_weather_wet_friction | Wet weather | Wet friction | freeway corridor / wet | SOC 0.55, mass 1.00, grade 0.0%",freeway corridor / wet,57da69baf0315620,SUMO weather wet 57da69baf0315620
10,map_rule_zero_offset,C12_wet_weather_wet_friction,weather_wet,freeway corridor / wet,data/drive_cycles/sumo_weather/profiles/wet/osm_custom_freeway_corridor/57da69baf0315620.csv,9.789999961853027,0.2200002670288086,0.0,5.016839232328651,0.5393734851886867,0.55,0.55,0.0,0.0,0.0017160041860374477,0.0,0.0,0.0,5.016839232328651,6.57924137319834,50.0172289503401,-35.49138552482995,0.13153950171311127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.007650488417504344,"C12_wet_weather_wet_friction | Wet weather | Wet friction | freeway corridor / wet | SOC 0.55, mass 1.00, grade 0.0%",freeway corridor / wet,57da69baf0315620,SUMO weather wet 57da69baf0315620
