time_s,controller,case_id,split,profile_id,profile_path,speed_mps,accel_mps2,road_grade,P_dem_kw,SOC,SOC_ref_base,SOC_ref_adapted,fuel_rate_kgps,total_fuel_kg,SOC_corrected_fuel_kg,engine_on,EMS_mode,P_eng_cmd_kw,P_mot_cmd_kw,P_batt_kw,battery_discharge_limit_kw,battery_charge_limit_kw,battery_limit_usage,constraint_flags,delta_P_eng_on_kw,delta_SOC_ref,raw_delta_P_eng_on_kw,raw_delta_SOC_ref,pre_gate_delta_P_eng_on_kw,pre_gate_delta_SOC_ref,confidence,distribution_confidence,safety_margin_confidence,stability_confidence,distribution_risk,top_ood_feature,top_ood_z,action_attenuation_ratio,fallback_active,direction_suppression_active,posthoc_step_reward,case_label,profile_label,profile_fingerprint,profile_name
0,map_rule_zero_offset,C13_snow_weather_snow_friction,weather_snow,urban signalized / snow,data/drive_cycles/sumo_weather/profiles/snow/osm_custom_urban_signalized/b0a2f5c7a2354bfd.csv,6.210000038146973,0.0,0.0,0.7519338719779787,0.5492812151469552,0.55,0.55,0.0,0.0,0.00011607171669983188,0.0,0.0,0.0,0.7519338719779787,1.940719103221254,51.00000000000001,-35.0,0.03805331574943635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0007992499375092465,"C13_snow_weather_snow_friction | Snow weather | Snow friction | urban signalized / snow | SOC 0.55, mass 1.00, grade 0.0%",urban signalized / snow,b0a2f5c7a2354bfd,SUMO weather snow b0a2f5c7a2354bfd
1,map_rule_zero_offset,C13_snow_weather_snow_friction,weather_snow,urban signalized / snow,data/drive_cycles/sumo_weather/profiles/snow/osm_custom_urban_signalized/b0a2f5c7a2354bfd.csv,6.71999979019165,0.5099997520446777,0.0,6.55032695534851,0.5462400919623973,0.55,0.55,0.0,0.0,0.0006071621831057044,0.0,0.0,0.0,6.55032695534851,8.211032598306296,50.91374581763462,-35.04312709118269,0.16127339417761521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.003912720081599391,"C13_snow_weather_snow_friction | Snow weather | Snow friction | urban signalized / snow | SOC 0.55, mass 1.00, grade 0.0%",urban signalized / snow,b0a2f5c7a2354bfd,SUMO weather snow b0a2f5c7a2354bfd
2,map_rule_zero_offset,C13_snow_weather_snow_friction,weather_snow,urban signalized / snow,data/drive_cycles/sumo_weather/profiles/snow/osm_custom_urban_signalized/b0a2f5c7a2354bfd.csv,5.119999885559082,-1.5999999046325684,0.0,-12.55642168960134,0.5484662025567097,0.55,0.55,0.0,0.0,0.00024768260148826565,0.0,3.0,0.0,-7.678359679513236,-6.010498604643606,50.54881103548768,-35.22559448225616,0.1706287343900247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0025087565350593918,"C13_snow_weather_snow_friction | Snow weather | Snow friction | urban signalized / snow | SOC 0.55, mass 1.00, grade 0.0%",urban signalized / snow,b0a2f5c7a2354bfd,SUMO weather snow b0a2f5c7a2354bfd
3,map_rule_zero_offset,C13_snow_weather_snow_friction,weather_snow,urban signalized / snow,data/drive_cycles/sumo_weather/profiles/snow/osm_custom_urban_signalized/b0a2f5c7a2354bfd.csv,2.549999952316284,-2.569999933242798,0.0,-10.237471987028057,0.550094463484025,0.55,0.55,0.0,0.0,-1.5254270745659975e-05,0.0,3.0,0.0,-5.965644990586027,-4.396304503751195,50.81594430680517,-35.09202784659742,0.1252792948577769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0017589183948255509,"C13_snow_weather_snow_friction | Snow weather | Snow friction | urban signalized / snow | SOC 0.55, mass 1.00, grade 0.0%",urban signalized / snow,b0a2f5c7a2354bfd,SUMO weather snow b0a2f5c7a2354bfd
4,map_rule_zero_offset,C13_snow_weather_snow_friction,weather_snow,urban signalized / snow,data/drive_cycles/sumo_weather/profiles/snow/osm_custom_urban_signalized/b0a2f5c7a2354bfd.csv,0.0,-2.549999952316284,0.0,-0.0,0.5497055745951361,0.55,0.55,0.0,0.0,4.7544772316540044e-05,0.0,0.0,0.0,-0.0,1.05,51.011335618083,-34.994332190958495,0.020583660225273255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.00042385272529019006,"C13_snow_weather_snow_friction | Snow weather | Snow friction | urban signalized / snow | SOC 0.55, mass 1.00, grade 0.0%",urban signalized / snow,b0a2f5c7a2354bfd,SUMO weather snow b0a2f5c7a2354bfd
5,map_rule_zero_offset,C13_snow_weather_snow_friction,weather_snow,urban signalized / snow,data/drive_cycles/sumo_weather/profiles/snow/osm_custom_urban_signalized/b0a2f5c7a2354bfd.csv,0.0,0.0,0.0,0.0,0.5493166857062473,0.55,0.55,0.0,0.0,0.00011034381537874006,0.0,0.0,0.0,0.0,1.05,50.964668951416336,-35.01766552429183,0.020602508004141956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0004407519299576389,"C13_snow_weather_snow_friction | Snow weather | Snow friction | urban signalized / snow | SOC 0.55, mass 1.00, grade 0.0%",urban signalized / snow,b0a2f5c7a2354bfd,SUMO weather snow b0a2f5c7a2354bfd
6,map_rule_zero_offset,C13_snow_weather_snow_friction,weather_snow,urban signalized / snow,data/drive_cycles/sumo_weather/profiles/snow/osm_custom_urban_signalized/b0a2f5c7a2354bfd.csv,0.0,0.0,0.0,0.0,0.5489277968173584,0.55,0.55,0.0,0.0,0.00017314285844094007,0.0,0.0,0.0,0.0,1.05,50.918002284749676,-35.04099885762516,0.020621390331224423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0004710942073274193,"C13_snow_weather_snow_friction | Snow weather | Snow friction | urban signalized / snow | SOC 0.55, mass 1.00, grade 0.0%",urban signalized / snow,b0a2f5c7a2354bfd,SUMO weather snow b0a2f5c7a2354bfd
7,map_rule_zero_offset,C13_snow_weather_snow_friction,weather_snow,urban signalized / snow,data/drive_cycles/sumo_weather/profiles/snow/osm_custom_urban_signalized/b0a2f5c7a2354bfd.csv,0.0,0.0,0.0,0.0,0.5485389079284695,0.55,0.55,0.0,0.0,0.00023594190150314008,0.0,0.0,0.0,0.0,1.05,50.87133561808301,-35.064332190958496,0.020640307301598763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0005148795573995312,"C13_snow_weather_snow_friction | Snow weather | Snow friction | urban signalized / snow | SOC 0.55, mass 1.00, grade 0.0%",urban signalized / snow,b0a2f5c7a2354bfd,SUMO weather snow b0a2f5c7a2354bfd
8,map_rule_zero_offset,C13_snow_weather_snow_friction,weather_snow,urban signalized / snow,data/drive_cycles/sumo_weather/profiles/snow/osm_custom_urban_signalized/b0a2f5c7a2354bfd.csv,0.0,0.0,0.0,0.0,0.5481500190395806,0.55,0.55,0.0,0.0,0.0002987409445653401,0.0,0.0,0.0,0.0,1.05,50.82466895141634,-35.08766552429183,0.020659259010692276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0005721079801739748,"C13_snow_weather_snow_friction | Snow weather | Snow friction | urban signalized / snow | SOC 0.55, mass 1.00, grade 0.0%",urban signalized / snow,b0a2f5c7a2354bfd,SUMO weather snow b0a2f5c7a2354bfd
9,map_rule_zero_offset,C13_snow_weather_snow_friction,weather_snow,urban signalized / snow,data/drive_cycles/sumo_weather/profiles/snow/osm_custom_urban_signalized/b0a2f5c7a2354bfd.csv,0.0,0.0,0.0,0.0,0.5477611301506917,0.55,0.55,0.0,0.0,0.0003615399876275401,0.0,0.0,0.0,0.0,1.05,50.778002284749675,-35.11099885762516,0.020678245554283062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0006427794756507499,"C13_snow_weather_snow_friction | Snow weather | Snow friction | urban signalized / snow | SOC 0.55, mass 1.00, grade 0.0%",urban signalized / snow,b0a2f5c7a2354bfd,SUMO weather snow b0a2f5c7a2354bfd
10,map_rule_zero_offset,C13_snow_weather_snow_friction,weather_snow,urban signalized / snow,data/drive_cycles/sumo_weather/profiles/snow/osm_custom_urban_signalized/b0a2f5c7a2354bfd.csv,0.0,0.0,0.0,0.0,0.5473722412618028,0.55,0.55,0.0,0.0,0.00042433903068974017,0.0,0.0,0.0,0.0,1.05,50.73133561808301,-35.134332190958496,0.020697267028501633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0007268940438298565,"C13_snow_weather_snow_friction | Snow weather | Snow friction | urban signalized / snow | SOC 0.55, mass 1.00, grade 0.0%",urban signalized / snow,b0a2f5c7a2354bfd,SUMO weather snow b0a2f5c7a2354bfd
