time_s,controller,case_id,split,profile_id,profile_path,speed_mps,accel_mps2,road_grade,P_dem_kw,SOC,SOC_ref_base,SOC_ref_adapted,fuel_rate_kgps,total_fuel_kg,SOC_corrected_fuel_kg,engine_on,EMS_mode,P_eng_cmd_kw,P_mot_cmd_kw,P_batt_kw,battery_discharge_limit_kw,battery_charge_limit_kw,battery_limit_usage,constraint_flags,delta_P_eng_on_kw,delta_SOC_ref,raw_delta_P_eng_on_kw,raw_delta_SOC_ref,pre_gate_delta_P_eng_on_kw,pre_gate_delta_SOC_ref,confidence,distribution_confidence,safety_margin_confidence,stability_confidence,distribution_risk,top_ood_feature,top_ood_z,action_attenuation_ratio,fallback_active,direction_suppression_active,posthoc_step_reward
0,map_rule_zero_offset,C14_weather_ice_56f447713a,weather_ice,56f447713a5f22af,data/drive_cycles/sumo_weather/profiles/ice/osm_custom_freeway_corridor/56f447713a5f22af.csv,6.920000076293945,0.0,0.0,0.8652932406827539,0.5492324403989505,0.55,0.55,0.0,0.0,0.0001239480217005888,0.0,0.0,0.0,0.8652932406827539,2.0724109228337735,51.00000000000001,-35.0,0.040635508290858297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0008551487131852151
1,map_rule_zero_offset,C14_weather_ice_56f447713a,weather_ice,56f447713a5f22af,data/drive_cycles/sumo_weather/profiles/ice/osm_custom_freeway_corridor/56f447713a5f22af.csv,6.610000133514404,-0.309999942779541,0.0,-2.5007777899489727,0.5496568524998685,0.55,0.55,0.0,0.0,5.541257478200631e-05,0.0,3.0,0.0,-2.5007777899489727,-1.1459126724788409,50.90789284787406,-35.046053576062974,0.03269733837482683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.00046359841151804844
2,map_rule_zero_offset,C14_weather_ice_56f447713a,weather_ice,56f447713a5f22af,data/drive_cycles/sumo_weather/profiles/ice/osm_custom_freeway_corridor/56f447713a5f22af.csv,6.659999847412109,0.04999971389770508,0.0,1.378361385559011,0.5486715849305955,0.55,0.55,0.0,0.0,0.00021451678752345546,0.0,0.0,0.0,1.378361385559011,2.6602224370369436,50.95882229998422,-35.02058885000789,0.052203373566538785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0011425194902201547
3,map_rule_zero_offset,C14_weather_ice_56f447713a,weather_ice,56f447713a5f22af,data/drive_cycles/sumo_weather/profiles/ice/osm_custom_freeway_corridor/56f447713a5f22af.csv,6.840000152587891,0.18000030517578125,0.0,2.906190443545248,0.5470662338621478,0.55,0.55,0.0,0.0,0.00047375410120819564,0.0,0.0,0.0,2.906190443545248,4.334447884808913,50.84059019167147,-35.07970490416427,0.08525565632632974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0021163117651061616
4,map_rule_zero_offset,C14_weather_ice_56f447713a,weather_ice,56f447713a5f22af,data/drive_cycles/sumo_weather/profiles/ice/osm_custom_freeway_corridor/56f447713a5f22af.csv,6.650000095367432,-0.19000005722045898,0.0,-1.2358386361736995,0.5470681291090987,0.55,0.55,0.0,0.0,0.0004734480505642052,0.0,3.0,0.0,-1.2358386361736995,-0.005117166767625747,50.64794806345774,-35.176025968271134,0.0001454731348061161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.00038408539652546746
5,map_rule_zero_offset,C14_weather_ice_56f447713a,weather_ice,56f447713a5f22af,data/drive_cycles/sumo_weather/profiles/ice/osm_custom_freeway_corridor/56f447713a5f22af.csv,6.559999942779541,-0.09000015258789062,0.0,-0.17118539887650508,0.5467320726009527,0.55,0.55,0.0,0.0,0.0005277155488892258,0.0,3.0,0.0,-0.17118539887650508,0.9073525719942603,50.64817549309185,-35.17591225345407,0.017914812590199197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0008375787837063445
6,map_rule_zero_offset,C14_weather_ice_56f447713a,weather_ice,56f447713a5f22af,data/drive_cycles/sumo_weather/profiles/ice/osm_custom_freeway_corridor/56f447713a5f22af.csv,6.590000152587891,0.03000020980834961,0.0,1.1413937107726608,0.5458467413476281,0.55,0.55,0.0,0.0,0.0006706817201796772,0.0,0.0,0.0,1.1413937107726608,2.3903943839764783,50.607848712114325,-35.19607564394284,0.047233669179940346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.001722804750635137
7,map_rule_zero_offset,C14_weather_ice_56f447713a,weather_ice,56f447713a5f22af,data/drive_cycles/sumo_weather/profiles/ice/osm_custom_freeway_corridor/56f447713a5f22af.csv,6.630000114440918,0.039999961853027344,0.0,1.2604202877875572,0.5449110822128589,0.55,0.55,0.0,0.0,0.0008217750015120288,0.0,0.0,0.0,1.2604202877875572,2.526279663876835,50.50160896171538,-35.24919551914231,0.05002374609078248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0021614933875188074
8,map_rule_zero_offset,C14_weather_ice_56f447713a,weather_ice,56f447713a5f22af,data/drive_cycles/sumo_weather/profiles/ice/osm_custom_freeway_corridor/56f447713a5f22af.csv,6.889999866485596,0.25999975204467773,0.0,3.8490403310978585,0.5429317081266529,0.55,0.55,0.0,0.0,0.0011414107690213653,0.0,0.0,0.0,3.8490403310978585,5.34431003275621,50.38932986554307,-35.30533506722847,0.10606035140806118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.004358201791183593
9,map_rule_zero_offset,C14_weather_ice_56f447713a,weather_ice,56f447713a5f22af,data/drive_cycles/sumo_weather/profiles/ice/osm_custom_freeway_corridor/56f447713a5f22af.csv,6.679999828338623,-0.21000003814697266,0.0,-1.4543916112148898,0.5430049759108324,0.55,0.55,0.0,0.0,0.0011295792488488403,0.0,3.0,0.0,-1.4543916112148898,-0.19782301728474772,50.15180497519835,-35.42409751240082,0.0055844193974312634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.002253811962826588
