time_s,controller,case_id,split,profile_id,profile_path,speed_mps,accel_mps2,road_grade,P_dem_kw,SOC,SOC_ref_base,SOC_ref_adapted,fuel_rate_kgps,total_fuel_kg,SOC_corrected_fuel_kg,engine_on,EMS_mode,P_eng_cmd_kw,P_mot_cmd_kw,P_batt_kw,battery_discharge_limit_kw,battery_charge_limit_kw,battery_limit_usage,constraint_flags,delta_P_eng_on_kw,delta_SOC_ref,raw_delta_P_eng_on_kw,raw_delta_SOC_ref,pre_gate_delta_P_eng_on_kw,pre_gate_delta_SOC_ref,confidence,distribution_confidence,safety_margin_confidence,stability_confidence,distribution_risk,top_ood_feature,top_ood_z,action_attenuation_ratio,fallback_active,direction_suppression_active,posthoc_step_reward,case_label,profile_label,profile_fingerprint,profile_name
0,map_rule_zero_offset,C15_ice_weather_ice_friction,weather_ice,freeway corridor / ice,data/drive_cycles/sumo_weather/profiles/ice/osm_custom_freeway_corridor/a0f3f873c6e2a43b.csv,10.104999542236328,0.0,0.0,1.4961946374524817,0.548965426264948,0.55,0.55,0.0,0.0,0.00016706633281342144,0.0,0.0,0.0,1.4961946374524817,2.7933490846404805,51.00000000000001,-35.0,0.0547715506792251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0011649104255566124,"C15_ice_weather_ice_friction | Ice weather | Ice friction | freeway corridor / ice | SOC 0.55, mass 1.00, grade 0.0%",freeway corridor / ice,a0f3f873c6e2a43b,SUMO weather ice a0f3f873c6e2a43b
1,map_rule_zero_offset,C15_ice_weather_ice_friction,weather_ice,freeway corridor / ice,data/drive_cycles/sumo_weather/profiles/ice/osm_custom_freeway_corridor/a0f3f873c6e2a43b.csv,8.654999732971191,-1.4499998092651367,0.0,-18.973708566179535,0.5530285967030187,0.55,0.55,0.0,0.0,-0.0004890676494109134,0.0,3.0,0.0,-12.892115334759476,-10.970560182790967,50.87585115179377,-35.062074424103116,0.31288964965659166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.00479588620598464,"C15_ice_weather_ice_friction | Ice weather | Ice friction | freeway corridor / ice | SOC 0.55, mass 1.00, grade 0.0%",freeway corridor / ice,a0f3f873c6e2a43b,SUMO weather ice a0f3f873c6e2a43b
2,map_rule_zero_offset,C15_ice_weather_ice_friction,weather_ice,freeway corridor / ice,data/drive_cycles/sumo_weather/profiles/ice/osm_custom_freeway_corridor/a0f3f873c6e2a43b.csv,7.204999923706055,-1.4499998092651367,0.0,-15.862545863500486,0.5562997665095334,0.55,0.55,0.0,0.0,-0.0010173067928074182,0.0,3.0,0.0,-10.62352174173916,-8.832158477589646,51.36343160436225,-34.818284197818876,0.2536643801116116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0052967326387975446,"C15_ice_weather_ice_friction | Ice weather | Ice friction | freeway corridor / ice | SOC 0.55, mass 1.00, grade 0.0%",freeway corridor / ice,a0f3f873c6e2a43b,SUMO weather ice a0f3f873c6e2a43b
3,map_rule_zero_offset,C15_ice_weather_ice_friction,weather_ice,freeway corridor / ice,data/drive_cycles/sumo_weather/profiles/ice/osm_custom_freeway_corridor/a0f3f873c6e2a43b.csv,5.755000114440918,-1.4499998092651367,0.0,-12.714321259891559,0.5587858036737778,0.55,0.55,0.0,0.0,-0.0014187601626315812,0.0,3.0,0.0,-8.415623872659905,-6.712300343459944,51.75597198114401,-34.622014009428,0.19387376891569919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.006115602190458083,"C15_ice_weather_ice_friction | Ice weather | Ice friction | freeway corridor / ice | SOC 0.55, mass 1.00, grade 0.0%",freeway corridor / ice,a0f3f873c6e2a43b,SUMO weather ice a0f3f873c6e2a43b
4,map_rule_zero_offset,C15_ice_weather_ice_friction,weather_ice,freeway corridor / ice,data/drive_cycles/sumo_weather/profiles/ice/osm_custom_freeway_corridor/a0f3f873c6e2a43b.csv,4.304999828338623,-1.450000286102295,0.0,-9.53649566994992,0.5605146606223436,0.55,0.55,0.0,0.0,-0.0016979416076750898,0.0,3.0,0.0,-6.255514749818355,-4.667913761127547,52.05429644085334,-34.47285177957333,0.1354084016888179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.006780858304587082,"C15_ice_weather_ice_friction | Ice weather | Ice friction | freeway corridor / ice | SOC 0.55, mass 1.00, grade 0.0%",freeway corridor / ice,a0f3f873c6e2a43b,SUMO weather ice a0f3f873c6e2a43b
5,map_rule_zero_offset,C15_ice_weather_ice_friction,weather_ice,freeway corridor / ice,data/drive_cycles/sumo_weather/profiles/ice/osm_custom_freeway_corridor/a0f3f873c6e2a43b.csv,2.8550000190734863,-1.4499998092651367,0.0,-6.336519992781317,0.5620809192194752,0.55,0.55,0.0,0.0,-0.001950866141900897,0.0,3.0,0.0,-5.7866393278966095,-4.228898212255521,52.261759274681225,-34.36912036265939,0.12304353930599987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.008178164137679314,"C15_ice_weather_ice_friction | Ice weather | Ice friction | freeway corridor / ice | SOC 0.55, mass 1.00, grade 0.0%",freeway corridor / ice,a0f3f873c6e2a43b,SUMO weather ice a0f3f873c6e2a43b
6,map_rule_zero_offset,C15_ice_weather_ice_friction,weather_ice,freeway corridor / ice,data/drive_cycles/sumo_weather/profiles/ice/osm_custom_freeway_corridor/a0f3f873c6e2a43b.csv,3.2149999141693115,0.3599998950958252,0.0,2.2817226626398184,0.5607240661354406,0.55,0.55,0.0,0.0,-0.001731757091249367,0.0,0.0,0.0,2.2817226626398184,3.66350332689367,52.449710306337025,-34.27514484683149,0.06984792300084529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.006576761085304236,"C15_ice_weather_ice_friction | Ice weather | Ice friction | freeway corridor / ice | SOC 0.55, mass 1.00, grade 0.0%",freeway corridor / ice,a0f3f873c6e2a43b,SUMO weather ice a0f3f873c6e2a43b
7,map_rule_zero_offset,C15_ice_weather_ice_friction,weather_ice,freeway corridor / ice,data/drive_cycles/sumo_weather/profiles/ice/osm_custom_freeway_corridor/a0f3f873c6e2a43b.csv,3.509999990463257,0.2950000762939453,0.0,2.11340717104379,0.5594353435342562,0.55,0.55,0.0,0.0,-0.0015236499726370535,0.0,0.0,0.0,2.11340717104379,3.479551023197944,52.28688793625287,-34.356556031873566,0.06654729628277252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0053485185252537945,"C15_ice_weather_ice_friction | Ice weather | Ice friction | freeway corridor / ice | SOC 0.55, mass 1.00, grade 0.0%",freeway corridor / ice,a0f3f873c6e2a43b,SUMO weather ice a0f3f873c6e2a43b
8,map_rule_zero_offset,C15_ice_weather_ice_friction,weather_ice,freeway corridor / ice,data/drive_cycles/sumo_weather/profiles/ice/osm_custom_freeway_corridor/a0f3f873c6e2a43b.csv,3.7950000762939453,0.2850000858306885,0.0,2.225048706454869,0.558101375429006,0.55,0.55,0.0,0.0,-0.0013082364628179397,0.0,0.0,0.0,2.225048706454869,3.6017138841755036,52.13224122411074,-34.43387938794463,0.06908803073883077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.004357675946634676,"C15_ice_weather_ice_friction | Ice weather | Ice friction | freeway corridor / ice | SOC 0.55, mass 1.00, grade 0.0%",freeway corridor / ice,a0f3f873c6e2a43b,SUMO weather ice a0f3f873c6e2a43b
9,map_rule_zero_offset,C15_ice_weather_ice_friction,weather_ice,freeway corridor / ice,data/drive_cycles/sumo_weather/profiles/ice/osm_custom_freeway_corridor/a0f3f873c6e2a43b.csv,4.295000076293945,0.5,0.0,4.066191786039608,0.5560361024011327,0.55,0.55,0.0,0.0,-0.0009747294547283528,0.0,0.0,0.0,4.066191786039608,5.576237175257769,51.972165051480715,-34.51391747425964,0.10729276276511207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.0038498074121901707,"C15_ice_weather_ice_friction | Ice weather | Ice friction | freeway corridor / ice | SOC 0.55, mass 1.00, grade 0.0%",freeway corridor / ice,a0f3f873c6e2a43b,SUMO weather ice a0f3f873c6e2a43b
10,map_rule_zero_offset,C15_ice_weather_ice_friction,weather_ice,freeway corridor / ice,data/drive_cycles/sumo_weather/profiles/ice/osm_custom_freeway_corridor/a0f3f873c6e2a43b.csv,4.849999904632568,0.554999828338623,0.0,5.04711196104836,0.5535876373234322,0.55,0.55,0.0,0.0,-0.0005793433476834209,0.0,0.0,0.0,5.04711196104836,6.610855709791295,51.72433228813592,-34.63783385593204,0.12780939680312967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.00321639302011578,"C15_ice_weather_ice_friction | Ice weather | Ice friction | freeway corridor / ice | SOC 0.55, mass 1.00, grade 0.0%",freeway corridor / ice,a0f3f873c6e2a43b,SUMO weather ice a0f3f873c6e2a43b
