time_s,controller,case_id,split,profile_id,profile_path,speed_mps,accel_mps2,road_grade,P_dem_kw,SOC,SOC_ref_base,SOC_ref_adapted,fuel_rate_kgps,total_fuel_kg,SOC_corrected_fuel_kg,engine_on,EMS_mode,P_eng_cmd_kw,P_mot_cmd_kw,P_batt_kw,battery_discharge_limit_kw,battery_charge_limit_kw,battery_limit_usage,constraint_flags,delta_P_eng_on_kw,delta_SOC_ref,raw_delta_P_eng_on_kw,raw_delta_SOC_ref,pre_gate_delta_P_eng_on_kw,pre_gate_delta_SOC_ref,confidence,distribution_confidence,safety_margin_confidence,stability_confidence,distribution_risk,top_ood_feature,top_ood_z,action_attenuation_ratio,fallback_active,direction_suppression_active,posthoc_step_reward,case_label,profile_label,profile_fingerprint,profile_name
0,map_rule_zero_offset,C16_heldout_nominal,heldout_evaluation,mixed arterial free flow mild seed46,data/drive_cycles/sumo/osm_custom_mixed_arterial/e8a36196fd7b4c36.csv,0.0,0.0,2.0,0.0,0.6496111111111111,0.55,0.55,0.0,0.0,-0.01608552631578947,0.0,0.0,0.0,0.0,1.05,57.0,-27.999999999999996,0.01842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.9488100462962957,"C16_heldout_nominal | Heldout | Nominal | mixed arterial free flow mild seed46 | SOC 0.65, mass 1.15, grade 2.0%",mixed arterial free flow mild seed46,e8a36196fd7b4c36,custom_mixed_arterial_free_flow_mild_seed46
1,map_rule_zero_offset,C16_heldout_nominal,heldout_evaluation,mixed arterial free flow mild seed46,data/drive_cycles/sumo/osm_custom_mixed_arterial/e8a36196fd7b4c36.csv,0.0,0.0,2.0,0.0,0.6492222222222223,0.55,0.55,0.0,0.0,-0.016022727272727272,0.0,0.0,0.0,0.0,1.05,57.0,-28.031111111111105,0.01842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.9373135185185182,"C16_heldout_nominal | Heldout | Nominal | mixed arterial free flow mild seed46 | SOC 0.65, mass 1.15, grade 2.0%",mixed arterial free flow mild seed46,e8a36196fd7b4c36,custom_mixed_arterial_free_flow_mild_seed46
2,map_rule_zero_offset,C16_heldout_nominal,heldout_evaluation,mixed arterial free flow mild seed46,data/drive_cycles/sumo/osm_custom_mixed_arterial/e8a36196fd7b4c36.csv,0.0,0.0,2.0,0.0,0.6488333333333334,0.55,0.55,0.0,0.0,-0.01595992822966507,0.0,0.0,0.0,0.0,1.05,57.0,-28.062222222222218,0.01842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.9259304166666664,"C16_heldout_nominal | Heldout | Nominal | mixed arterial free flow mild seed46 | SOC 0.65, mass 1.15, grade 2.0%",mixed arterial free flow mild seed46,e8a36196fd7b4c36,custom_mixed_arterial_free_flow_mild_seed46
3,map_rule_zero_offset,C16_heldout_nominal,heldout_evaluation,mixed arterial free flow mild seed46,data/drive_cycles/sumo/osm_custom_mixed_arterial/e8a36196fd7b4c36.csv,0.0,0.0,2.0,0.0,0.6484444444444445,0.55,0.55,0.0,0.0,-0.01589712918660287,0.0,0.0,0.0,0.0,1.05,57.0,-28.093333333333327,0.01842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.9146607407407407,"C16_heldout_nominal | Heldout | Nominal | mixed arterial free flow mild seed46 | SOC 0.65, mass 1.15, grade 2.0%",mixed arterial free flow mild seed46,e8a36196fd7b4c36,custom_mixed_arterial_free_flow_mild_seed46
4,map_rule_zero_offset,C16_heldout_nominal,heldout_evaluation,mixed arterial free flow mild seed46,data/drive_cycles/sumo/osm_custom_mixed_arterial/e8a36196fd7b4c36.csv,0.0,0.0,2.0,0.0,0.6480555555555556,0.55,0.55,0.0,0.0,-0.01583433014354067,0.0,0.0,0.0,0.0,1.05,57.0,-28.12444444444444,0.01842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.9035044907407409,"C16_heldout_nominal | Heldout | Nominal | mixed arterial free flow mild seed46 | SOC 0.65, mass 1.15, grade 2.0%",mixed arterial free flow mild seed46,e8a36196fd7b4c36,custom_mixed_arterial_free_flow_mild_seed46
5,map_rule_zero_offset,C16_heldout_nominal,heldout_evaluation,mixed arterial free flow mild seed46,data/drive_cycles/sumo/osm_custom_mixed_arterial/e8a36196fd7b4c36.csv,0.0,0.0,2.0,0.0,0.6476666666666667,0.55,0.55,0.0,0.0,-0.01577153110047847,0.0,0.0,0.0,0.0,1.05,57.0,-28.155555555555548,0.01842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.8924616666666669,"C16_heldout_nominal | Heldout | Nominal | mixed arterial free flow mild seed46 | SOC 0.65, mass 1.15, grade 2.0%",mixed arterial free flow mild seed46,e8a36196fd7b4c36,custom_mixed_arterial_free_flow_mild_seed46
6,map_rule_zero_offset,C16_heldout_nominal,heldout_evaluation,mixed arterial free flow mild seed46,data/drive_cycles/sumo/osm_custom_mixed_arterial/e8a36196fd7b4c36.csv,0.0,0.0,2.0,0.0,0.6472777777777778,0.55,0.55,0.0,0.0,-0.01570873205741627,0.0,0.0,0.0,0.0,1.05,57.0,-28.18666666666666,0.01842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.881532268518519,"C16_heldout_nominal | Heldout | Nominal | mixed arterial free flow mild seed46 | SOC 0.65, mass 1.15, grade 2.0%",mixed arterial free flow mild seed46,e8a36196fd7b4c36,custom_mixed_arterial_free_flow_mild_seed46
7,map_rule_zero_offset,C16_heldout_nominal,heldout_evaluation,mixed arterial free flow mild seed46,data/drive_cycles/sumo/osm_custom_mixed_arterial/e8a36196fd7b4c36.csv,0.0,0.0,2.0,0.0,0.646888888888889,0.55,0.55,0.0,0.0,-0.01564593301435407,0.0,0.0,0.0,0.0,1.05,57.0,-28.21777777777777,0.01842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.8707162962962969,"C16_heldout_nominal | Heldout | Nominal | mixed arterial free flow mild seed46 | SOC 0.65, mass 1.15, grade 2.0%",mixed arterial free flow mild seed46,e8a36196fd7b4c36,custom_mixed_arterial_free_flow_mild_seed46
8,map_rule_zero_offset,C16_heldout_nominal,heldout_evaluation,mixed arterial free flow mild seed46,data/drive_cycles/sumo/osm_custom_mixed_arterial/e8a36196fd7b4c36.csv,0.0,0.0,2.0,0.0,0.6465000000000001,0.55,0.55,0.0,0.0,-0.01558313397129187,0.0,0.0,0.0,0.0,1.05,57.0,-28.24888888888888,0.01842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.8600137500000008,"C16_heldout_nominal | Heldout | Nominal | mixed arterial free flow mild seed46 | SOC 0.65, mass 1.15, grade 2.0%",mixed arterial free flow mild seed46,e8a36196fd7b4c36,custom_mixed_arterial_free_flow_mild_seed46
9,map_rule_zero_offset,C16_heldout_nominal,heldout_evaluation,mixed arterial free flow mild seed46,data/drive_cycles/sumo/osm_custom_mixed_arterial/e8a36196fd7b4c36.csv,0.0,0.0,2.0,0.0,0.6461111111111112,0.55,0.55,0.0,0.0,-0.015520334928229672,0.0,0.0,0.0,0.0,1.05,57.0,-28.27999999999999,0.01842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.8494246296296305,"C16_heldout_nominal | Heldout | Nominal | mixed arterial free flow mild seed46 | SOC 0.65, mass 1.15, grade 2.0%",mixed arterial free flow mild seed46,e8a36196fd7b4c36,custom_mixed_arterial_free_flow_mild_seed46
10,map_rule_zero_offset,C16_heldout_nominal,heldout_evaluation,mixed arterial free flow mild seed46,data/drive_cycles/sumo/osm_custom_mixed_arterial/e8a36196fd7b4c36.csv,0.0,0.0,2.0,0.0,0.6457222222222223,0.55,0.55,0.0,0.0,-0.01545753588516747,0.0,0.0,0.0,0.0,1.05,57.0,-28.311111111111103,0.01842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.8389489351851862,"C16_heldout_nominal | Heldout | Nominal | mixed arterial free flow mild seed46 | SOC 0.65, mass 1.15, grade 2.0%",mixed arterial free flow mild seed46,e8a36196fd7b4c36,custom_mixed_arterial_free_flow_mild_seed46
