case_id,case_label,split,condition_label,controller,controller_display,SOC_RMSE_delta_vs_baseline,abs_final_SOC_error_delta_vs_baseline,SOC_tail_risk_integral_delta_vs_baseline,constraint_violation_steps_delta_vs_baseline,battery_limit_risk_integral_delta_vs_baseline,SOC_corrected_fuel_kg_delta_vs_baseline,engine_switch_count_delta_vs_baseline,fuel_kg_delta_vs_baseline,battery_energy_throughput_kWh_delta_vs_baseline,action_rate_mean_delta_vs_baseline,composite_delta_vs_baseline
C01_meta_val_nominal,"C01_meta_val_nominal | Meta-val | Nominal | mixed arterial dense mild seed43 | SOC 0.65, mass 1.15, grade 2.0%",meta_validation,nominal,old_latent_sac_adapter,Old Meta-RL adapter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002504153351765126,0.0
C01_meta_val_nominal,"C01_meta_val_nominal | Meta-val | Nominal | mixed arterial dense mild seed43 | SOC 0.65, mass 1.15, grade 2.0%",meta_validation,nominal,new_robust_adapter_no_gate,"New robustness adapter, no gate",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020295341623326146,0.0
C01_meta_val_nominal,"C01_meta_val_nominal | Meta-val | Nominal | mixed arterial dense mild seed43 | SOC 0.65, mass 1.15, grade 2.0%",meta_validation,nominal,new_robust_confidence_adapter,New robustness/confidence adapter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009031780171894183,0.0
C02_meta_val_nominal,"C02_meta_val_nominal | Meta-val | Nominal | freeway corridor free flow normal seed42 | SOC 0.55, mass 1.00, grade -2.0%",meta_validation,nominal,old_latent_sac_adapter,Old Meta-RL adapter,-9.498884012926548e-05,-0.0002691071555063207,0.0,0.0,0.0,1.902817299370002e-05,0.0,6.248447202881341e-05,-0.00023414689235101704,0.011154402000829577,-0.00036409599563558964
C02_meta_val_nominal,"C02_meta_val_nominal | Meta-val | Nominal | freeway corridor free flow normal seed42 | SOC 0.55, mass 1.00, grade -2.0%",meta_validation,nominal,new_robust_adapter_no_gate,"New robustness adapter, no gate",0.00010142323564405267,0.0002517697121970919,0.0,0.0,0.0,-8.707833788666741e-06,0.0,-4.936442606929409e-05,0.000239472513369976,0.05446508809303238,0.0003531929478411411
C02_meta_val_nominal,"C02_meta_val_nominal | Meta-val | Nominal | freeway corridor free flow normal seed42 | SOC 0.55, mass 1.00, grade -2.0%",meta_validation,nominal,new_robust_confidence_adapter,New robustness/confidence adapter,-0.0001873527114253145,-0.0005345907974398934,0.0,0.0,0.0,3.456368685559458e-05,0.0,0.00012089114816467295,-0.0003839532966008752,0.029810486460500194,-0.0007219435088652096
C03_heldout_nominal,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",heldout_evaluation,nominal,old_latent_sac_adapter,Old Meta-RL adapter,-8.42249642648979e-05,-0.0001023602115580724,-0.14015004033118217,0.0,0.0,5.282676286456206e-06,0.0,2.1812136286864132e-05,-7.756564938719845e-05,0.0046022535224134725,-0.0002333018559333988
C03_heldout_nominal,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",heldout_evaluation,nominal,new_robust_adapter_no_gate,"New robustness adapter, no gate",-0.0016735756103351401,-0.002056293094438666,-2.690160546212944,0.0,0.0,6.366891464270469e-05,0.0,0.00039572581386426026,0.0007195910110035231,0.018573374239106974,-0.004626588886844807
C03_heldout_nominal,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",heldout_evaluation,nominal,new_robust_confidence_adapter,New robustness/confidence adapter,-0.003999293364568446,-0.00496820848423174,-6.118354611767735,0.0,0.0,0.00013115280565555165,0.0,0.0009334352761953641,0.00209174712337952,0.021568715811376173,-0.011006953386056118
C04_heldout_nominal,"C04_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed44 | SOC 0.65, mass 1.15, grade -2.0%",heldout_evaluation,nominal,old_latent_sac_adapter,Old Meta-RL adapter,-7.254835087131331e-05,-9.913914483139497e-05,-0.03997275551672885,0.0,-0.007236779176635899,-2.1488887814918867e-05,0.0,-5.479576149547416e-06,-0.0009568784838317468,0.040261916206994396,-0.00018501174754161076
C04_heldout_nominal,"C04_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed44 | SOC 0.65, mass 1.15, grade -2.0%",heldout_evaluation,nominal,new_robust_adapter_no_gate,"New robustness adapter, no gate",4.484598812696042e-05,-0.0015844389484984678,0.14006484728737334,0.0,-0.0341443414926661,0.00023705358314332625,0.0,0.000492913939659223,0.0024659318431112798,0.09199620589303488,-0.001492904677942386
