candidate_id,split,task_idx,profile_uid,source_family,source_id,profile_id,profile_name,profile_path,start_idx,horizon,initial_SOC,mass_scale,road_grade,condition_label,weather,friction_label,case_id,reason_for_selection,profile_fingerprint,profile_label,case_label
meta_validation:000,meta_validation,0,sumo_selected:bc8a04551cdd08b3,sumo_selected,osm_custom_mixed_arterial,mixed arterial dense mild seed43,custom_mixed_arterial_dense_mild_seed43,data/drive_cycles/sumo/osm_custom_mixed_arterial/bc8a04551cdd08b3.csv,713,240,0.65,1.15,2.0,nominal,,,C01_meta_val_nominal,meta_validation representative,bc8a04551cdd08b3,mixed arterial dense mild seed43,"C01_meta_val_nominal | Meta-val | Nominal | mixed arterial dense mild seed43 | SOC 0.65, mass 1.15, grade 2.0%"
meta_validation:001,meta_validation,1,sumo_selected:d25b7810d65f4813,sumo_selected,osm_custom_freeway_corridor,freeway corridor free flow normal seed42,custom_freeway_corridor_free_flow_normal_seed42,data/drive_cycles/sumo/osm_custom_freeway_corridor/d25b7810d65f4813.csv,104,240,0.55,1.0,-2.0,nominal,,,C02_meta_val_nominal,meta_validation representative,d25b7810d65f4813,freeway corridor free flow normal seed42,"C02_meta_val_nominal | Meta-val | Nominal | freeway corridor free flow normal seed42 | SOC 0.55, mass 1.00, grade -2.0%"
heldout_evaluation:010,heldout_evaluation,10,sumo_selected:e85b8857ed7397c3,sumo_selected,osm_custom_suburban_arterial,suburban arterial congested normal seed46,custom_suburban_arterial_congested_normal_seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,937,240,0.55,1.0,0.0,nominal,,,C03_heldout_nominal,heldout_evaluation representative,e85b8857ed7397c3,suburban arterial congested normal seed46,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%"
heldout_evaluation:011,heldout_evaluation,11,sumo_selected:cfef57d4ffb59267,sumo_selected,osm_custom_suburban_arterial,suburban arterial congested normal seed44,custom_suburban_arterial_congested_normal_seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,57,240,0.65,1.15,-2.0,nominal,,,C04_heldout_nominal,heldout_evaluation representative,cfef57d4ffb59267,suburban arterial congested normal seed44,"C04_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed44 | SOC 0.65, mass 1.15, grade -2.0%"
low_soc_stress:000,low_soc_stress,20,sumo_selected:e85b8857ed7397c3,sumo_selected,osm_custom_suburban_arterial,suburban arterial congested normal seed46,custom_suburban_arterial_congested_normal_seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,937,240,0.45,1.0,0.0,low_soc_stress,,,C05_low_soc_stress_low_soc,large baseline SOC RMSE / tail risk; large SOC tail-risk integral; low-SOC stress,e85b8857ed7397c3,suburban arterial congested normal seed46,"C05_low_soc_stress_low_soc | Low-SOC stress | Low SOC | suburban arterial congested normal seed46 | SOC 0.45, mass 1.00, grade 0.0%"
low_soc_high_mass_uphill:000,low_soc_high_mass_uphill,26,sumo_selected:e85b8857ed7397c3,sumo_selected,osm_custom_suburban_arterial,suburban arterial congested normal seed46,custom_suburban_arterial_congested_normal_seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,937,240,0.45,1.3,6.0,low_soc_high_mass_uphill,,,C06_combined_stress_low_soc_mass_uphill,large baseline SOC RMSE / tail risk; large SOC tail-risk integral; combined low-SOC/mass/uphill stress,e85b8857ed7397c3,suburban arterial congested normal seed46,"C06_combined_stress_low_soc_mass_uphill | Combined stress | Low SOC + mass + uphill | suburban arterial congested normal seed46 | SOC 0.45, mass 1.30, grade 6.0%"
low_soc_high_mass_uphill:001,low_soc_high_mass_uphill,27,sumo_selected:cfef57d4ffb59267,sumo_selected,osm_custom_suburban_arterial,suburban arterial congested normal seed44,custom_suburban_arterial_congested_normal_seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,57,240,0.45,1.3,6.0,low_soc_high_mass_uphill,,,C07_combined_stress_low_soc_mass_uphill,baseline constraint violation case; battery-limit proximity stress,cfef57d4ffb59267,suburban arterial congested normal seed44,"C07_combined_stress_low_soc_mass_uphill | Combined stress | Low SOC + mass + uphill | suburban arterial congested normal seed44 | SOC 0.45, mass 1.30, grade 6.0%"
high_mass_stress:001,high_mass_stress,23,sumo_selected:cfef57d4ffb59267,sumo_selected,osm_custom_suburban_arterial,suburban arterial congested normal seed44,custom_suburban_arterial_congested_normal_seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,57,240,0.55,1.3,0.0,high_mass_stress,,,C08_high_mass_stress_high_mass,baseline constraint violation case,cfef57d4ffb59267,suburban arterial congested normal seed44,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%"
uphill_grade_stress:001,uphill_grade_stress,25,sumo_selected:cfef57d4ffb59267,sumo_selected,osm_custom_suburban_arterial,suburban arterial congested normal seed44,custom_suburban_arterial_congested_normal_seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,57,240,0.55,1.0,6.0,uphill_grade_stress,,,C09_uphill_stress_uphill_grade,battery-limit proximity stress,cfef57d4ffb59267,suburban arterial congested normal seed44,"C09_uphill_stress_uphill_grade | Uphill stress | Uphill grade | suburban arterial congested normal seed44 | SOC 0.55, mass 1.00, grade 6.0%"
high_mass_stress:000,high_mass_stress,22,sumo_selected:e85b8857ed7397c3,sumo_selected,osm_custom_suburban_arterial,suburban arterial congested normal seed46,custom_suburban_arterial_congested_normal_seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,937,240,0.55,1.3,0.0,high_mass_stress,,,C10_high_mass_stress_high_mass,high-mass stress,e85b8857ed7397c3,suburban arterial congested normal seed46,"C10_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed46 | SOC 0.55, mass 1.30, grade 0.0%"
